vtype,hypothesis,vaf_bin,threshold,n,all_agree,lo,hi,p_one_sided,supported,p_holm,supported_holm,run,flags,callerset,denom
indel,H1,>=20%,0.8,814,0.8955773955773956,0.8726785363580684,0.914760145129944,1.5391659904182036e-13,True,3.078331980836407e-13,True,IL_T_1,strict,native,truth
indel,H2,<5%,0.5,102,0.23529411764705882,0.16352093227112996,0.32628201827699754,3.8397150765134964e-08,True,3.8397150765134964e-08,True,IL_T_1,strict,native,truth
snv,H1,>=20%,0.8,28030,0.958687120941848,0.9562937841805114,0.9609547505153725,0.0,True,0.0,True,IL_T_1,strict,native,truth
snv,H2,<5%,0.5,1292,0.0030959752321981426,0.0012046028492181103,0.007933443120904406,0.0,True,0.0,True,IL_T_1,strict,native,truth
pooled,H1,>=20%,0.8,28844,0.9569061156566357,0.9545011505309153,0.9591893950034929,0.0,True,0.0,True,IL_T_1,strict,native,truth
pooled,H2,<5%,0.5,1394,0.020086083213773313,0.013933006438702312,0.02887689767673299,0.0,True,0.0,True,IL_T_1,strict,native,truth
indel,H1,>=20%,0.8,814,0.8648648648648649,0.8396585008928058,0.8866436370014169,8.270429497591854e-07,True,1.6540858995183708e-06,True,NV_T_1,strict,native,truth
indel,H2,<5%,0.5,102,0.37254901960784315,0.2849497607818803,0.4693998080005515,0.006460225955563098,True,0.006460225955563098,True,NV_T_1,strict,native,truth
snv,H1,>=20%,0.8,28030,0.9636817695326436,0.9614273511851781,0.9658091118654872,0.0,True,0.0,True,NV_T_1,strict,native,truth
snv,H2,<5%,0.5,1292,0.0023219814241486067,0.0007899905644007492,0.006804656723432237,0.0,True,0.0,True,NV_T_1,strict,native,truth
pooled,H1,>=20%,0.8,28844,0.9608930800166412,0.95859391704813,0.963069495375758,0.0,True,0.0,True,NV_T_1,strict,native,truth
pooled,H2,<5%,0.5,1394,0.029411764705882353,0.021753875307373678,0.0396561353050711,0.0,True,0.0,True,NV_T_1,strict,native,truth
indel,H1,>=20%,0.8,814,0.9090909090909091,0.8873734236694447,0.9269653369998351,1.450976574188191e-17,True,2.901953148376382e-17,True,FD_T_1,strict,native,truth
indel,H2,<5%,0.5,102,0.18627450980392157,0.12262079699482112,0.27270121846962636,5.0791297894488576e-11,True,5.0791297894488576e-11,True,FD_T_1,strict,native,truth
