vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,run,flags,callerset,denom
<5%,vtype,102,0.7647058823529411,1292,0.9969040247678018,-0.2321981424148607,-0.3232056989721857,-0.1602621205997664,5.842139295995151e-25,1.1684278591990301e-24,False,False,IL_T_1,strict,native,truth
5-10%,vtype,287,0.3693379790940767,3853,0.9558785362055541,-0.5865405571114775,-0.6406465721279446,-0.5289008023354531,7.032432376733684e-258,2.8129729506934735e-257,False,False,IL_T_1,strict,native,truth
10-20%,vtype,422,0.17298578199052134,6271,0.4512836868123106,-0.2782979048217893,-0.31361951502101204,-0.23741427213454397,1.0561108838965709e-28,3.168332651689713e-28,False,False,IL_T_1,strict,native,truth
>=20%,vtype,814,0.10442260442260443,28030,0.04131287905815198,0.06310972536445245,0.043778249961654955,0.086120590133715,5.006314400414807e-18,5.006314400414807e-18,True,True,IL_T_1,strict,native,truth
<5%,vtype,102,0.6274509803921569,1292,0.9976780185758514,-0.3702270381836945,-0.46708994237453283,-0.2825131594375301,3.8450898798346985e-43,7.690179759669397e-43,False,False,NV_T_1,strict,native,truth
5-10%,vtype,287,0.20905923344947736,3853,0.9691149753438879,-0.7600557418944105,-0.8033948806128569,-0.7089745428371836,0.0,0.0,False,False,NV_T_1,strict,native,truth
10-20%,vtype,422,0.14691943127962084,6271,0.4614893956306809,-0.3145699643510601,-0.3475621171970763,-0.27561321854795723,4.20569545347703e-36,4.20569545347703e-36,False,False,NV_T_1,strict,native,truth
>=20%,vtype,814,0.13513513513513514,28030,0.036318230467356404,0.09881690466777873,0.07692176096280967,0.12411288004120581,4.784949613474509e-46,1.4354848840423526e-45,True,True,NV_T_1,strict,native,truth
<5%,vtype,102,0.8137254901960784,1292,0.9984520123839009,-0.18472652218782248,-0.2711605313099623,-0.12094227261671929,9.337907040406026e-21,1.8675814080812053e-20,False,False,FD_T_1,strict,native,truth
5-10%,vtype,287,0.41114982578397213,3853,0.9558785362055541,-0.5447287104215819,-0.6004447067947655,-0.48657736972621923,1.0825424436321402e-229,4.330169774528561e-229,False,False,FD_T_1,strict,native,truth
10-20%,vtype,422,0.1848341232227488,6271,0.5409025673736246,-0.3560684441508758,-0.392352053910993,-0.31437621146938566,2.868092917653658e-45,8.604278752960973e-45,False,False,FD_T_1,strict,native,truth
>=20%,vtype,814,0.09090909090909091,28030,0.052336782019265074,0.03857230888982584,0.02049970643371852,0.06043856378550104,2.0840932477525136e-06,2.0840932477525136e-06,True,True,FD_T_1,strict,native,truth
<5%,vtype,102,0.7549019607843137,1292,1.0,-0.2450980392156863,-0.336817582637033,-0.17182156589283964,2.0344915425947878e-30,4.0689830851895756e-30,False,False,NS_T_1,strict,native,truth
5-10%,vtype,287,0.4250871080139373,3853,0.9769011160134959,-0.5518140079995586,-0.6078122984106752,-0.49376439645961095,5.3210923981685005e-307,2.1284369592674002e-306,False,False,NS_T_1,strict,native,truth
10-20%,vtype,422,0.1872037914691943,6271,0.5900175410620315,-0.4028137495928372,-0.4392224636615145,-0.36100887471864457,2.3815948244088574e-58,7.144784473226573e-58,False,False,NS_T_1,strict,native,truth
>=20%,vtype,814,0.13513513513513514,28030,0.12326079200856226,0.011874343126572887,-0.01025089196871664,0.03736507062306646,0.3366947938911009,0.3366947938911009,True,False,NS_T_1,strict,native,truth
<5%,vtype,102,0.6078431372549019,1292,1.0,-0.3921568627450981,-0.4891667609232768,-0.30292592544848534,9.116995055427675e-50,1.823399011085535e-49,False,False,NS_380X,strict,native,truth
5-10%,vtype,287,0.25435540069686413,3853,0.9992213859330392,-0.7448659852361751,-0.7917796171928219,-0.6914448816745365,2.204059271390784e-289,8.816237085563135e-289,False,False,NS_380X,strict,native,truth
10-20%,vtype,422,0.21800947867298578,6271,0.6834635624302344,-0.4654540837572486,-0.5039350016901474,-0.42202805454402037,6.9815291300297155e-84,2.0944587390089146e-83,False,False,NS_380X,strict,native,truth
>=20%,vtype,814,0.3157248157248157,28030,0.3344987513378523,-0.018773935613036585,-0.050267680605834704,0.01441771881713591,0.27930791696853374,0.27930791696853374,False,False,NS_380X,strict,native,truth
<5%,vtype,102,0.8725490196078431,773,1.0,-0.12745098039215685,-0.2059265580014401,-0.07578116602055385,3.6143246609665765e-13,3.6143246609665765e-13,False,False,IL_T_1,strict,native,truth_obsvaf
5-10%,vtype,219,0.2922374429223744,3270,1.0,-0.7077625570776256,-0.7640003767454422,-0.6443508387983208,2.0054896272238823e-218,8.021958508895529e-218,False,False,IL_T_1,strict,native,truth_obsvaf
10-20%,vtype,421,0.1330166270783848,6188,0.43778280542986425,-0.30476617835147946,-0.33643645588010695,-0.2669247743197824,2.578949424289097e-34,7.736848272867292e-34,False,False,IL_T_1,strict,native,truth_obsvaf
>=20%,vtype,820,0.08536585365853659,27940,0.033357193987115244,0.05200865967142135,0.03462767923148248,0.07321889103537607,2.6069450745377736e-15,5.213890149075547e-15,True,True,IL_T_1,strict,native,truth_obsvaf
<5%,vtype,64,0.703125,1043,1.0,-0.296875,-0.41770201103542925,-0.19898271067890233,1.7958218105648799e-25,1.7958218105648799e-25,False,False,NV_T_1,strict,native,truth_obsvaf
5-10%,vtype,228,0.2412280701754386,3574,1.0,-0.7587719298245614,-0.8097218020151553,-0.6992370175787772,2.8069044937513254e-251,1.1227617975005302e-250,False,False,NV_T_1,strict,native,truth_obsvaf
10-20%,vtype,427,0.11475409836065574,6060,0.44587458745874586,-0.3311204890980901,-0.36076230383800323,-0.2951606214020915,1.5285786023503606e-40,4.585735807051082e-40,False,False,NV_T_1,strict,native,truth_obsvaf
>=20%,vtype,855,0.11228070175438597,28091,0.03339147769748318,0.0788892240569028,0.059317600527706675,0.10189950909126598,5.704249174178437e-34,1.1408498348356874e-33,True,True,NV_T_1,strict,native,truth_obsvaf
<5%,vtype,45,0.9111111111111111,252,1.0,-0.0888888888888889,-0.20733575334289356,-0.033054321428072034,0.0004689919944157232,0.0004689919944157232,False,False,FD_T_1,strict,native,truth_obsvaf
5-10%,vtype,168,0.4523809523809524,2700,1.0,-0.5476190476190477,-0.6209797329635627,-0.47211597801570604,4.682376036074519e-127,1.8729504144298075e-126,False,False,FD_T_1,strict,native,truth_obsvaf
10-20%,vtype,378,0.1402116402116402,6108,0.5599214145383105,-0.4197097743266702,-0.4534659187906984,-0.3791107369687267,2.114595360644908e-56,6.343786081934724e-56,False,False,FD_T_1,strict,native,truth_obsvaf
>=20%,vtype,920,0.075,27881,0.03425271690398479,0.040747283096015205,0.02528112523512477,0.05970413173985392,9.394657000343953e-11,1.8789314000687905e-10,True,True,FD_T_1,strict,native,truth_obsvaf
<5%,vtype,64,0.921875,497,1.0,-0.078125,-0.17019537354162906,-0.033172004415286074,1.67625932975286e-05,3.35251865950572e-05,False,False,NS_T_1,strict,native,truth_obsvaf
5-10%,vtype,206,0.4174757281553398,3188,1.0,-0.5825242718446602,-0.6477535675327648,-0.5142629074502927,4.0087385373808545e-165,1.6034954149523418e-164,False,False,NS_T_1,strict,native,truth_obsvaf
10-20%,vtype,419,0.13365155131264916,6088,0.6046320630749015,-0.4709805117622523,-0.502700972089871,-0.4329873743034747,6.41023787376532e-79,1.923071362129596e-78,False,False,NS_T_1,strict,native,truth_obsvaf
>=20%,vtype,854,0.12295081967213115,27852,0.10857389056441188,0.01437692910771926,-0.00630906399865902,0.03837632442593418,0.20329716410819645,0.20329716410819645,True,False,NS_T_1,strict,native,truth_obsvaf
<5%,vtype,106,0.6792452830188679,1291,1.0,-0.3207547169811321,-0.4145382805993296,-0.23945440947754237,3.246608824215773e-41,6.493217648431546e-41,False,False,NS_380X,strict,native,truth_obsvaf
5-10%,vtype,257,0.22568093385214008,3900,0.9997435897435898,-0.7740626558914497,-0.8209140658456507,-0.7191188403197659,1.6648393655054211e-285,6.6593574620216845e-285,False,False,NS_380X,strict,native,truth_obsvaf
10-20%,vtype,425,0.20941176470588235,6064,0.699703166226913,-0.4902914015210306,-0.5280509033017503,-0.4474720265631766,4.386597623723995e-95,1.3159792871171985e-94,False,False,NS_380X,strict,native,truth_obsvaf
>=20%,vtype,833,0.3133253301320528,28187,0.33231631603221345,-0.01899098590016063,-0.050066984506894535,0.013765320372650304,0.2670281520444643,0.2670281520444643,False,False,NS_380X,strict,native,truth_obsvaf
<5%,vtype,17556,0.998177261335156,83570,1.0,-0.001822738664843948,-0.0025719560852569545,-0.0012895028374863503,4.527525270950983e-25,9.055050541901966e-25,False,False,IL_T_1,strict,native,union
5-10%,vtype,6587,0.9650827387277972,74665,0.9999598205317083,-0.034877081803911136,-0.03958830997985346,-0.030707344531448192,4.2924373949191484e-247,1.2877312184757445e-246,False,False,IL_T_1,strict,native,union
10-20%,vtype,5939,0.8947634281865634,37199,0.8958305330788462,-0.0010671048922827886,-0.009690654257921549,0.00711248488728174,0.8204443812194337,0.8204443812194337,False,False,IL_T_1,strict,native,union
>=20%,vtype,19452,0.6373123586263624,156082,0.43576453402698584,0.20154782459937653,0.19433219536558938,0.20871142140292281,0.0,0.0,True,True,IL_T_1,strict,native,union
<5%,vtype,22036,0.9976402250862225,98265,1.0,-0.0023597749137774793,-0.003092926632459192,-0.0017987331879226274,4.44157771024715e-39,8.8831554204943e-39,False,False,NV_T_1,strict,native,union
5-10%,vtype,9447,0.9691965703397905,88508,0.9999887015862973,-0.030792131246506815,-0.03447159283482426,-0.027493686545408864,1.1799476104154234e-295,4.719790441661694e-295,False,False,NV_T_1,strict,native,union
10-20%,vtype,6490,0.8869029275808937,45058,0.9157086421945049,-0.028805714613611144,-0.03713455474050039,-0.02088876834429694,2.2018384750159308e-14,2.2018384750159308e-14,False,False,NV_T_1,strict,native,union
>=20%,vtype,19292,0.5516794526228489,183677,0.49023013224301354,0.06144932037983536,0.054059406121504026,0.06881954329604914,3.018903069829358e-59,9.056709209488073e-59,True,True,NV_T_1,strict,native,union
<5%,vtype,11222,0.9995544466227054,40979,1.0,-0.0004455533772945719,-0.001042671358577496,-0.00017366043157264005,0.00045883163407243793,0.0009176632681448759,False,False,FD_T_1,strict,native,union
5-10%,vtype,5428,0.9778924097273397,37321,0.999973205433938,-0.022080795706598266,-0.026343529019554682,-0.018491884411784534,9.296139394317567e-107,2.78884181829527e-106,False,False,FD_T_1,strict,native,union
10-20%,vtype,6046,0.9186238835593781,31959,0.9085077755874714,0.010116107971906652,0.0023085750339833953,0.017481400933407932,0.012509604047576176,0.012509604047576176,True,True,FD_T_1,strict,native,union
>=20%,vtype,23109,0.6884763512051582,135577,0.47767689209821723,0.21079945910694092,0.20423473511353324,0.21730643569996913,0.0,0.0,True,True,FD_T_1,strict,native,union
