vtype,vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,run,flags,callerset,denom
indel,<5%,lc,13,0.6153846153846154,89,0.7865168539325843,-0.17113223854796888,-0.44115699073489845,0.05753466809119959,0.31307864439366634,1.0,False,False,IL_T_1,strict,native,truth
indel,5-10%,lc,32,0.46875,255,0.3568627450980392,0.11188725490196078,-0.059230509353523864,0.2878822911756811,0.2974733561137017,1.0,True,False,IL_T_1,strict,native,truth
indel,10-20%,lc,80,0.4375,342,0.1111111111111111,0.3263888888888889,0.2163593116445887,0.43928764332726916,1.1683170986865468e-11,8.178219690805828e-11,True,True,IL_T_1,strict,native,truth
indel,>=20%,lc,258,0.2054263565891473,556,0.05755395683453238,0.1478723997546149,0.09770639989477026,0.20380709941419767,3.055749312728138e-10,1.8334495876368827e-09,True,True,IL_T_1,strict,native,truth
snv,<5%,lc,50,1.0,1242,0.9967793880837359,0.0032206119162641045,-0.06815410987231578,0.008251663796935427,1.0,1.0,True,False,IL_T_1,strict,native,truth
snv,5-10%,lc,215,0.9674418604651163,3638,0.9551951621770204,0.01224669828809588,-0.021448881814902274,0.03043832186498271,0.4972793401303879,1.0,True,False,IL_T_1,strict,native,truth
snv,10-20%,lc,361,0.5318559556786704,5910,0.4463620981387479,0.0854938575399225,0.03241300406245025,0.13790678283511068,0.0018427348920991883,0.009213674460495942,True,True,IL_T_1,strict,native,truth
snv,>=20%,lc,1762,0.13847900113507378,26268,0.03479518806151972,0.10368381307355407,0.08817180033308666,0.12073548412379259,6.596305605168841e-99,5.277044484135073e-98,True,True,IL_T_1,strict,native,truth
indel,<5%,lc,13,0.6923076923076923,89,0.6179775280898876,0.0743301642178047,-0.21028081819639383,0.28290021151766076,0.7624639286812634,1.0,True,False,NV_T_1,strict,native,truth
indel,5-10%,lc,32,0.59375,255,0.1607843137254902,0.4329656862745098,0.25464332072730683,0.5892251456204438,5.127856146024494e-08,2.563928073012247e-07,True,True,NV_T_1,strict,native,truth
indel,10-20%,lc,80,0.475,342,0.07017543859649122,0.40482456140350875,0.2943027577164588,0.5151998494942006,1.686622465496223e-19,1.1806357258473563e-18,True,True,NV_T_1,strict,native,truth
indel,>=20%,lc,258,0.2868217054263566,556,0.06474820143884892,0.2220735039875077,0.16520726558019375,0.2826877964146933,1.6930418764649132e-17,1.0158251258789479e-16,True,True,NV_T_1,strict,native,truth
snv,<5%,lc,50,1.0,1242,0.9975845410628019,0.0024154589371980784,-0.0689499362472832,0.0070776405885938365,1.0,1.0,True,False,NV_T_1,strict,native,truth
