vaf_bin,cell,n,disagree,run,flags,callerset,denom
<5%,snv_LC,50,1.0,IL_T_1,strict,native,truth
5-10%,snv_LC,215,0.9674418604651163,IL_T_1,strict,native,truth
10-20%,snv_LC,361,0.5318559556786704,IL_T_1,strict,native,truth
>=20%,indel_LC,258,0.20542635658914732,IL_T_1,strict,native,truth
<5%,snv_LC,50,1.0,NV_T_1,strict,native,truth
5-10%,snv_LC,215,0.9767441860465116,NV_T_1,strict,native,truth
10-20%,snv_LC,361,0.5678670360110804,NV_T_1,strict,native,truth
>=20%,indel_LC,258,0.28682170542635654,NV_T_1,strict,native,truth
<5%,snv_LC,50,1.0,FD_T_1,strict,native,truth
5-10%,snv_LC,215,0.958139534883721,FD_T_1,strict,native,truth
10-20%,snv_LC,361,0.631578947368421,FD_T_1,strict,native,truth
>=20%,snv_LC,1762,0.13791146424517597,FD_T_1,strict,native,truth
<5%,snv_LC,50,1.0,NS_T_1,strict,native,truth
5-10%,snv_LC,215,0.9906976744186047,NS_T_1,strict,native,truth
10-20%,snv_LC,361,0.6204986149584488,NS_T_1,strict,native,truth
>=20%,snv_LC,1762,0.19239500567536894,NS_T_1,strict,native,truth
<5%,snv_LC,50,1.0,NS_380X,strict,native,truth
5-10%,snv_nonLC,3638,0.9997251236943375,NS_380X,strict,native,truth
10-20%,snv_LC,361,0.7229916897506925,NS_380X,strict,native,truth
>=20%,indel_LC,258,0.4534883720930233,NS_380X,strict,native,truth
<5%,snv_LC,31,1.0,IL_T_1,strict,native,truth_obsvaf
5-10%,snv_LC,178,1.0,IL_T_1,strict,native,truth_obsvaf
10-20%,snv_LC,359,0.5459610027855153,IL_T_1,strict,native,truth_obsvaf
>=20%,indel_LC,253,0.15810276679841895,IL_T_1,strict,native,truth_obsvaf
<5%,snv_LC,45,1.0,NV_T_1,strict,native,truth_obsvaf
5-10%,snv_LC,210,1.0,NV_T_1,strict,native,truth_obsvaf
10-20%,snv_LC,336,0.5595238095238095,NV_T_1,strict,native,truth_obsvaf
>=20%,indel_LC,244,0.24180327868852458,NV_T_1,strict,native,truth_obsvaf
<5%,snv_nonLC,243,1.0,FD_T_1,strict,native,truth_obsvaf
5-10%,snv_LC,158,1.0,FD_T_1,strict,native,truth_obsvaf
10-20%,snv_LC,362,0.6243093922651934,FD_T_1,strict,native,truth_obsvaf
>=20%,indel_LC,264,0.13257575757575757,FD_T_1,strict,native,truth_obsvaf
<5%,snv_LC,25,1.0,NS_T_1,strict,native,truth_obsvaf
5-10%,snv_LC,182,1.0,NS_T_1,strict,native,truth_obsvaf
10-20%,snv_LC,344,0.6569767441860466,NS_T_1,strict,native,truth_obsvaf
>=20%,snv_LC,1756,0.17767653758542146,NS_T_1,strict,native,truth_obsvaf
<5%,snv_LC,46,1.0,NS_380X,strict,native,truth_obsvaf
5-10%,snv_nonLC,3673,1.0,NS_380X,strict,native,truth_obsvaf
10-20%,snv_LC,338,0.7307692307692308,NS_380X,strict,native,truth_obsvaf
>=20%,indel_LC,259,0.45945945945945943,NS_380X,strict,native,truth_obsvaf
<5%,snv_LC,43106,1.0,IL_T_1,strict,native,union
5-10%,snv_LC,37772,1.0,IL_T_1,strict,native,union
10-20%,snv_LC,19731,0.9902184379909786,IL_T_1,strict,native,union
>=20%,snv_LC,26662,0.8112294651564024,IL_T_1,strict,native,union
<5%,snv_LC,49641,1.0,NV_T_1,strict,native,union
5-10%,snv_LC,57818,1.0,NV_T_1,strict,native,union
10-20%,snv_LC,28351,0.9937215618496702,NV_T_1,strict,native,union
>=20%,snv_LC,31073,0.8150484343320568,NV_T_1,strict,native,union
<5%,indel_LC,10147,1.0,FD_T_1,strict,native,union
5-10%,snv_LC,19515,1.0,FD_T_1,strict,native,union
10-20%,snv_LC,15636,0.9898311588641596,FD_T_1,strict,native,union
>=20%,snv_LC,25572,0.8369701235726577,FD_T_1,strict,native,union
<5%,snv_LC,35349,1.0,NS_T_1,strict,native,union
5-10%,snv_LC,29585,0.9999661990873754,NS_T_1,strict,native,union
10-20%,snv_LC,19978,0.993092401641806,NS_T_1,strict,native,union
>=20%,snv_LC,25794,0.8329068775684267,NS_T_1,strict,native,union
<5%,snv_LC,78953,1.0,NS_380X,strict,native,union
5-10%,snv_nonLC,18951,1.0,NS_380X,strict,native,union
10-20%,snv_LC,17154,0.9935292060160895,NS_380X,strict,native,union
>=20%,snv_LC,36599,0.9075384573348999,NS_380X,strict,native,union
<5%,snv_LC,4113,1.0,IL_T_1,strict,native,union_hc
5-10%,snv_LC,20494,1.0,IL_T_1,strict,native,union_hc
10-20%,snv_LC,10456,0.9844108645753634,IL_T_1,strict,native,union_hc
>=20%,indel_LC,2196,0.8998178506375227,IL_T_1,strict,native,union_hc
<5%,snv_LC,6899,1.0,NV_T_1,strict,native,union_hc
5-10%,snv_LC,38087,1.0,NV_T_1,strict,native,union_hc
10-20%,snv_LC,17286,0.9913224574800417,NV_T_1,strict,native,union_hc
>=20%,indel_LC,1509,0.8721007289595759,NV_T_1,strict,native,union_hc
<5%,indel_LC,5108,1.0,FD_T_1,strict,native,union_hc
5-10%,snv_LC,6063,1.0,FD_T_1,strict,native,union_hc
10-20%,snv_LC,7031,0.9803726354714835,FD_T_1,strict,native,union_hc
>=20%,indel_LC,2790,0.9082437275985663,FD_T_1,strict,native,union_hc
<5%,snv_LC,2659,1.0,NS_T_1,strict,native,union_hc
5-10%,snv_LC,11844,1.0,NS_T_1,strict,native,union_hc
10-20%,snv_LC,10120,0.9883399209486166,NS_T_1,strict,native,union_hc
>=20%,indel_LC,2475,0.9022222222222223,NS_T_1,strict,native,union_hc
<5%,snv_LC,12394,1.0,NS_380X,strict,native,union_hc
5-10%,snv_nonLC,10796,1.0,NS_380X,strict,native,union_hc
10-20%,snv_LC,7090,0.9870239774330042,NS_380X,strict,native,union_hc
>=20%,snv_LC,11460,0.9090750436300175,NS_380X,strict,native,union_hc
<5%,indel_nonLC,89,0.7865168539325843,IL_T_1,strict,shared3,truth
5-10%,indel_LC,32,0.46875,IL_T_1,strict,shared3,truth
10-20%,indel_LC,80,0.4375,IL_T_1,strict,shared3,truth
>=20%,indel_LC,258,0.20542635658914732,IL_T_1,strict,shared3,truth
<5%,snv_LC,50,0.76,NV_T_1,strict,shared3,truth
5-10%,indel_LC,32,0.59375,NV_T_1,strict,shared3,truth
10-20%,indel_LC,80,0.475,NV_T_1,strict,shared3,truth
>=20%,indel_LC,258,0.28682170542635654,NV_T_1,strict,shared3,truth
<5%,snv_nonLC,1242,0.821256038647343,FD_T_1,strict,shared3,truth
5-10%,snv_LC,215,0.5720930232558139,FD_T_1,strict,shared3,truth
10-20%,indel_LC,80,0.42500000000000004,FD_T_1,strict,shared3,truth
>=20%,indel_LC,258,0.12403100775193798,FD_T_1,strict,shared3,truth
<5%,snv_nonLC,1242,0.7979066022544283,NS_T_1,strict,shared3,truth
5-10%,indel_LC,32,0.5625,NS_T_1,strict,shared3,truth
10-20%,indel_LC,80,0.4125,NS_T_1,strict,shared3,truth
>=20%,indel_LC,258,0.1589147286821705,NS_T_1,strict,shared3,truth
<5%,snv_nonLC,1242,0.8075684380032206,NS_380X,strict,shared3,truth
5-10%,indel_LC,32,0.4375,NS_380X,strict,shared3,truth
10-20%,indel_LC,80,0.42500000000000004,NS_380X,strict,shared3,truth
>=20%,indel_LC,258,0.4534883720930233,NS_380X,strict,shared3,truth
<5%,snv_LC,39469,0.9999493273201753,IL_T_1,strict,shared3,union
5-10%,snv_LC,37005,0.9948385353330631,IL_T_1,strict,shared3,union
10-20%,snv_LC,16772,0.9774624373956594,IL_T_1,strict,shared3,union
>=20%,snv_LC,22349,0.754396169851,IL_T_1,strict,shared3,union
<5%,snv_LC,44957,1.0,NV_T_1,strict,shared3,union
5-10%,snv_LC,56312,0.9963418099161813,NV_T_1,strict,shared3,union
10-20%,snv_LC,23157,0.9841516604050611,NV_T_1,strict,shared3,union
>=20%,snv_LC,23076,0.735916103310799,NV_T_1,strict,shared3,union
<5%,indel_LC,10147,1.0,FD_T_1,strict,shared3,union
5-10%,indel_LC,4584,0.9965095986038395,FD_T_1,strict,shared3,union
10-20%,snv_LC,14008,0.9714448886350657,FD_T_1,strict,shared3,union
>=20%,snv_LC,22840,0.7801225919439579,FD_T_1,strict,shared3,union
<5%,snv_LC,32910,0.999969614099058,NS_T_1,strict,shared3,union
5-10%,indel_LC,6520,0.9950920245398773,NS_T_1,strict,shared3,union
10-20%,snv_LC,17634,0.9789610978790972,NS_T_1,strict,shared3,union
>=20%,snv_LC,22941,0.7815701146419075,NS_T_1,strict,shared3,union
<5%,snv_LC,65673,0.9999847730421939,NS_380X,strict,shared3,union
5-10%,snv_LC,19956,0.9881739827620766,NS_380X,strict,shared3,union
10-20%,snv_LC,7228,0.9501936912008855,NS_380X,strict,shared3,union
>=20%,snv_LC,21567,0.8143923586961561,NS_380X,strict,shared3,union
<5%,snv_LC,4005,1.0,IL_T_1,strict,shared3,union_hc
5-10%,indel_LC,3278,0.9945088468578401,IL_T_1,strict,shared3,union_hc
10-20%,indel_LC,2411,0.9805060141020323,IL_T_1,strict,shared3,union_hc
>=20%,indel_LC,2196,0.8998178506375227,IL_T_1,strict,shared3,union_hc
<5%,snv_LC,6654,1.0,NV_T_1,strict,shared3,union_hc
5-10%,indel_LC,4928,0.9969561688311688,NV_T_1,strict,shared3,union_hc
10-20%,snv_LC,14244,0.9806234203875316,NV_T_1,strict,shared3,union_hc
>=20%,indel_LC,1509,0.8721007289595759,NV_T_1,strict,shared3,union_hc
<5%,indel_LC,5108,1.0,FD_T_1,strict,shared3,union_hc
5-10%,indel_LC,2691,0.9959123002601263,FD_T_1,strict,shared3,union_hc
10-20%,indel_LC,2659,0.9759308010530274,FD_T_1,strict,shared3,union_hc
>=20%,indel_LC,2790,0.9082437275985663,FD_T_1,strict,shared3,union_hc
<5%,snv_LC,2564,1.0,NS_T_1,strict,shared3,union_hc
5-10%,indel_LC,3894,0.9966615305598356,NS_T_1,strict,shared3,union_hc
10-20%,indel_LC,2902,0.9786354238456237,NS_T_1,strict,shared3,union_hc
>=20%,indel_LC,2475,0.9022222222222223,NS_T_1,strict,shared3,union_hc
<5%,snv_LC,9367,0.9998932422333725,NS_380X,strict,shared3,union_hc
5-10%,indel_LC,2211,0.9900497512437811,NS_380X,strict,shared3,union_hc
10-20%,indel_LC,979,0.9448416751787538,NS_380X,strict,shared3,union_hc
>=20%,indel_LC,1392,0.8958333333333334,NS_380X,strict,shared3,union_hc
<5%,snv_LC,50,1.0,IL_T_1,lenient,native,truth
5-10%,snv_LC,215,0.9348837209302325,IL_T_1,lenient,native,truth
10-20%,snv_LC,361,0.44321329639889195,IL_T_1,lenient,native,truth
>=20%,indel_LC,258,0.1821705426356589,IL_T_1,lenient,native,truth
<5%,snv_LC,50,1.0,NV_T_1,lenient,native,truth
5-10%,snv_LC,215,0.958139534883721,NV_T_1,lenient,native,truth
10-20%,snv_LC,361,0.5180055401662049,NV_T_1,lenient,native,truth
>=20%,indel_LC,258,0.26356589147286824,NV_T_1,lenient,native,truth
<5%,snv_LC,50,1.0,FD_T_1,lenient,native,truth
5-10%,snv_LC,215,0.9116279069767442,FD_T_1,lenient,native,truth
10-20%,snv_LC,361,0.4986149584487535,FD_T_1,lenient,native,truth
>=20%,snv_LC,1762,0.11350737797956867,FD_T_1,lenient,native,truth
<5%,snv_LC,50,1.0,NS_T_1,lenient,native,truth
5-10%,snv_LC,215,0.9674418604651163,NS_T_1,lenient,native,truth
10-20%,snv_LC,361,0.5235457063711911,NS_T_1,lenient,native,truth
>=20%,snv_LC,1762,0.17253121452894438,NS_T_1,lenient,native,truth
<5%,snv_LC,50,1.0,NS_380X,lenient,native,truth
5-10%,snv_nonLC,3638,0.9991753710830127,NS_380X,lenient,native,truth
10-20%,snv_LC,361,0.6675900277008311,NS_380X,lenient,native,truth
>=20%,indel_LC,258,0.4418604651162791,NS_380X,lenient,native,truth
<5%,snv_LC,62053,1.0,IL_T_1,lenient,native,union
5-10%,snv_LC,53095,0.9999811658348243,IL_T_1,lenient,native,union
10-20%,snv_LC,36688,0.9928859572612299,IL_T_1,lenient,native,union
>=20%,snv_LC,39203,0.8659541361630487,IL_T_1,lenient,native,union
<5%,snv_LC,71134,1.0,NV_T_1,lenient,native,union
5-10%,snv_LC,79395,1.0,NV_T_1,lenient,native,union
10-20%,snv_LC,48543,0.9956121376923552,NV_T_1,lenient,native,union
>=20%,snv_LC,43654,0.867595180281303,NV_T_1,lenient,native,union
<5%,indel_LC,12610,1.0,FD_T_1,lenient,native,union
5-10%,snv_LC,27618,1.0,FD_T_1,lenient,native,union
10-20%,snv_LC,28743,0.9914066033469019,FD_T_1,lenient,native,union
>=20%,snv_LC,36792,0.8699173733420309,FD_T_1,lenient,native,union
<5%,snv_LC,49551,1.0,NS_T_1,lenient,native,union
5-10%,snv_LC,41918,0.9999761438999952,NS_T_1,lenient,native,union
10-20%,snv_LC,34408,0.9940711462450593,NS_T_1,lenient,native,union
>=20%,snv_LC,35503,0.8665183223952906,NS_T_1,lenient,native,union
<5%,snv_LC,123512,1.0,NS_380X,lenient,native,union
5-10%,snv_LC,40219,0.9999751361296899,NS_380X,lenient,native,union
10-20%,snv_LC,26943,0.9949151913298445,NS_380X,lenient,native,union
>=20%,snv_LC,42950,0.92,NS_380X,lenient,native,union
