all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MuTect2,rate_SomaticSniper,rate_VarDict,rate_MuSE,rate_Strelka,vtype,grouping,run,flags,callerset,denom,vaf_bin,lc
all,39446,5,30487,0.7728793794047558,0.7687183496761238,0.7769872654521848,0.9284338082441819,0.8983724585509304,38100,0.19981627296587925,0.010571414085078334,0.8999476383706064,0.48308926529166035,0.946306342848451,0.7985854078994068,0.9433149115246159,0.8710895908330376,0.9325660396491406,snv,all,IL_T_1,strict,native,truth,,
,1292,5,4,0.0030959752321981426,0.0012046028492181103,0.007933443120904406,0.23529411764705882,0.2541795665634675,711,0.9943741209563994,0.11068111455108359,0.219151669238102,0.2132363462432039,0.5356037151702786,0.0030959752321981426,0.29566563467492263,0.04643962848297214,0.39009287925696595,snv,vaf_bin,IL_T_1,strict,native,truth,<5%,
,3853,5,170,0.044121463794445884,0.03807839234768623,0.05107265585895446,0.6472878276667532,0.5317415001297691,3250,0.9476923076923077,0.058655593044381005,0.4173233355681032,0.17883441175328615,0.8193615364650921,0.048793148196210744,0.7305995328315599,0.3599792369582144,0.6999740461977679,snv,vaf_bin,IL_T_1,strict,native,truth,5-10%,
,6271,5,3441,0.5487163131876893,0.5363739749855937,0.5609990031222599,0.9409982458937969,0.8538670068569607,6127,0.4383874653174474,0.005421782809759209,0.7884526455803743,0.20075014987297304,0.9561473449210652,0.578695582841652,0.9674693031414447,0.8367086589060756,0.9303141444745655,snv,vaf_bin,IL_T_1,strict,native,truth,10-20%,
,28030,5,26872,0.958687120941848,0.9562937841805114,0.9609547505153725,0.9962183374955405,0.9884195504816269,28012,0.040696844209624446,0.0004994648590795576,0.9817080220299926,0.20303199688086726,0.9804851944345344,0.987513378523011,0.9970032108455227,0.9870495897252943,0.9900463788797716,snv,vaf_bin,IL_T_1,strict,native,truth,>=20%,
,37058,5,28793,0.7769712342813967,0.7727043650497272,0.7811806873918414,0.9294349398240596,0.8998758702574342,35800,0.19572625698324023,0.010470073938151006,0.9020214574571289,0.486776994504567,0.9490528360947703,0.7989368017701981,0.9441955852987209,0.8722273193372551,0.934966808786227,snv,lc,IL_T_1,strict,native,truth,,False
,2388,5,1694,0.7093802345058626,0.6908445099680743,0.7272434014660946,0.9128978224455612,0.8750418760469012,2300,0.2634782608695652,0.012144053601340033,0.8674962266596982,0.4331944951943806,0.9036850921273032,0.7931323283082077,0.9296482412060302,0.8534338358458962,0.8953098827470687,snv,lc,IL_T_1,strict,native,truth,,True
,1242,5,4,0.00322061191626409,0.0012531241011195814,0.008251663796935423,0.23510466988727857,0.2541062801932367,684,0.9941520467836257,0.11272141706924316,0.21991840995656106,0.21411720089048247,0.535426731078905,0.00322061191626409,0.2938808373590982,0.04750402576489533,0.39049919484702095,snv,vaf_bin+lc,IL_T_1,strict,native,truth,<5%,False
,50,5,0,0.0,6.938893903907228e-18,0.07134759913335872,0.24,0.256,27,1.0,0.06,0.19818254787295034,0.19144825268817148,0.54,0.0,0.34,0.02,0.38,snv,vaf_bin+lc,IL_T_1,strict,native,truth,<5%,True
,3638,5,163,0.04480483782297966,0.038548981315575756,0.05202098515613984,0.6503573391973612,0.5339747113798791,3074,0.9469746258945999,0.057174271577789995,0.41884939281978184,0.17773179796553668,0.8210555250137438,0.04920285871357889,0.7319956019791094,0.36256184716877404,0.7050577240241891,snv,vaf_bin+lc,IL_T_1,strict,native,truth,5-10%,False
