vtype,hypothesis,vaf_bin,threshold,n,all_agree,lo,hi,p_one_sided,supported,p_holm,supported_holm,denom,callerset
indel,H1,>=20%,0.8,814,0.8574938574938575,0.8317981709266898,0.8798311965050233,1.2487006502129373e-05,True,1.2487006502129373e-05,True,truth,native
indel,H2,<5%,0.5,102,0.08823529411764706,0.04711555975757313,0.1592445855395142,4.988778938038142e-19,True,9.977557876076285e-19,True,truth,native
snv,H1,>=20%,0.8,28030,0.9326792722083482,0.9296861449913069,0.9355538199143228,0.0,True,0.0,True,truth,native
snv,H2,<5%,0.5,1292,0.0015479876160990713,0.00042461673364873687,0.005626631871894721,0.0,True,0.0,True,truth,native
indel,H1,>=20%,0.8,814,0.8574938574938575,0.8317981709266898,0.8798311965050233,1.2487006502129373e-05,True,1.2487006502129373e-05,True,truth,shared4
indel,H2,<5%,0.5,102,0.08823529411764706,0.04711555975757313,0.1592445855395142,4.988778938038142e-19,True,9.977557876076285e-19,True,truth,shared4
snv,H1,>=20%,0.8,28030,0.9415269354263289,0.9387191311332489,0.9442137354294219,0.0,True,0.0,True,truth,shared4
snv,H2,<5%,0.5,1292,0.017027863777089782,0.011271521307264366,0.025647700944069665,0.0,True,0.0,True,truth,shared4
indel,H1,>=20%,0.8,29038,0.2404435567187823,0.23556277946572204,0.24539299872162598,1.0,False,1.0,False,union,native
indel,H2,<5%,0.5,17549,0.0009117328622713545,0.000561304501779712,0.001480613264342593,0.0,True,0.0,True,union,native
snv,H1,>=20%,0.8,158336,0.5482833973322555,0.5458309702624631,0.550733481609724,1.0,False,1.0,False,union,native
snv,H2,<5%,0.5,75600,0.0,0.0,5.081036553924923e-05,0.0,True,0.0,True,union,native
indel,H1,>=20%,0.8,29038,0.2404435567187823,0.23556277946572204,0.24539299872162598,1.0,False,1.0,False,union,shared4
indel,H2,<5%,0.5,17549,0.0009117328622713545,0.000561304501779712,0.001480613264342593,0.0,True,0.0,True,union,shared4
snv,H1,>=20%,0.8,132726,0.674683181893525,0.672157735473594,0.6771985169738729,1.0,False,1.0,False,union,shared4
snv,H2,<5%,0.5,46534,0.0,0.0,8.25448430841655e-05,0.0,True,0.0,True,union,shared4
indel,H1,>=20%,0.8,5805,0.12454780361757106,0.1163009036078706,0.1332912860049338,1.0,False,1.0,False,union_hc,native
indel,H2,<5%,0.5,9956,0.0012053033346725592,0.0006896392991427593,0.002105732387826917,0.0,True,0.0,True,union_hc,native
snv,H1,>=20%,0.8,39177,0.6718227531459785,0.667156520401275,0.6764552934018995,1.0,False,1.0,False,union_hc,native
snv,H2,<5%,0.5,5574,0.0,0.0,0.0006886998938665268,0.0,True,0.0,True,union_hc,native
indel,H1,>=20%,0.8,5805,0.12454780361757106,0.1163009036078706,0.1332912860049338,1.0,False,1.0,False,union_hc,shared4
indel,H2,<5%,0.5,9956,0.0012053033346725592,0.0006896392991427593,0.002105732387826917,0.0,True,0.0,True,union_hc,shared4
snv,H1,>=20%,0.8,36624,0.7234054172127566,0.7188009812804448,0.727962992468798,1.0,False,1.0,False,union_hc,shared4
snv,H2,<5%,0.5,5312,0.0,5.421010862427522e-20,0.0007226436022315726,0.0,True,0.0,True,union_hc,shared4
