vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,denom,callerset
<5%,vtype,102,0.9117647058823529,1292,0.9984520123839009,-0.08668730650154799,-0.1577054832619746,-0.045365787981430844,2.083381083493734e-09,4.166762166987468e-09,False,False,truth,native
5-10%,vtype,287,0.6132404181184669,3853,0.9618479107189203,-0.34860749260045343,-0.4063656580115734,-0.2937240965892156,1.5816195529326563e-121,6.326478211730625e-121,False,False,truth,native
10-20%,vtype,422,0.4028436018957346,6271,0.49354169988837504,-0.09069809799264045,-0.13805898752374893,-0.04164508231944006,0.0003740684532753656,0.0003740684532753656,False,False,truth,native
>=20%,vtype,814,0.14250614250614252,28030,0.0673207277916518,0.07518541471449072,0.0526484334473125,0.10104138757710107,1.6030026294305566e-16,4.80900788829167e-16,True,True,truth,native
<5%,vtype,102,0.9117647058823529,1292,0.9829721362229102,-0.07120743034055732,-0.14244965761389272,-0.029193930764488944,1.3831817614856297e-05,2.7663635229712594e-05,False,False,truth,shared4
5-10%,vtype,287,0.6132404181184669,3853,0.8126135478847651,-0.19937312976629828,-0.25809959954901285,-0.14343417601526667,8.18601943229977e-16,2.455805829689931e-15,False,False,truth,shared4
10-20%,vtype,422,0.4028436018957346,6271,0.3375857120076543,0.06525788988808029,0.018043704563591625,0.1141236830214363,0.007297347685016211,0.007297347685016211,True,True,truth,shared4
>=20%,vtype,814,0.14250614250614252,28030,0.05847306457367107,0.08403307793247144,0.06151995999985299,0.10986885162738409,9.929540977878556e-23,3.9718163911514223e-22,True,True,truth,shared4
<5%,vtype,17549,0.9990882671377287,75600,1.0,-0.0009117328622713083,-0.0014806132643425673,-0.0005576400367535558,2.5048156556335036e-12,2.5048156556335036e-12,False,False,union,native
5-10%,vtype,9333,0.9871423979427837,69448,1.0,-0.01285760205721631,-0.015351966918612403,-0.010763356874192678,3.448889856887753e-112,1.0346669570663258e-111,False,False,union,native
10-20%,vtype,8425,0.9412462908011869,35365,0.9007210518874593,0.04052523891372761,0.03446303444122905,0.0462916370282562,5.5758728773869056e-31,1.1151745754773811e-30,True,True,union,native
>=20%,vtype,29038,0.7595564432812177,158336,0.45171660266774455,0.3078398406134732,0.3023161303864461,0.31330105838615807,0.0,0.0,True,True,union,native
<5%,vtype,17549,0.9990882671377287,46534,1.0,-0.0009117328622713083,-0.0014806132643425673,-0.0005517138531111411,9.953947869604296e-10,1.990789573920859e-09,False,False,union,shared4
5-10%,vtype,9333,0.9871423979427837,67901,0.9930487032591567,-0.0059063053163730395,-0.008471266663445337,-0.003713187845696332,1.2700156540305122e-09,1.990789573920859e-09,False,False,union,shared4
10-20%,vtype,8425,0.9412462908011869,30029,0.8334276865696494,0.10781860423153755,0.10113229408492357,0.11425164910775838,1.3750412144002875e-137,4.1251236432008625e-137,True,True,union,shared4
>=20%,vtype,29038,0.7595564432812177,132726,0.325316818106475,0.43423962517474274,0.4286831104614125,0.4397304263148696,0.0,0.0,True,True,union,shared4
<5%,vtype,9956,0.9987946966653274,5574,1.0,-0.0012053033346726139,-0.002105732387826964,-0.00034494472260967904,0.005868095382046968,0.005868095382046968,False,False,union_hc,native
5-10%,vtype,5533,0.983733959877101,41602,1.0,-0.016266040122899006,-0.01995045170546228,-0.013251443220798194,9.691725095051128e-85,2.9075175285153386e-84,False,False,union_hc,native
10-20%,vtype,4382,0.936330442720219,20331,0.8443755840834194,0.09195485863679964,0.0828871642245656,0.10046707809328913,4.5980843717191915e-57,9.196168743438383e-57,True,True,union_hc,native
>=20%,vtype,5805,0.875452196382429,39177,0.3281772468540215,0.5472749495284075,0.537364237531489,0.5567339023770438,0.0,0.0,True,True,union_hc,native
<5%,vtype,9956,0.9987946966653274,5312,1.0,-0.0012053033346726139,-0.002105732387826964,-0.00031754031821756856,0.01124041308519973,0.01124041308519973,False,False,union_hc,shared4
5-10%,vtype,5533,0.983733959877101,41159,0.990257294880828,-0.006523335003727038,-0.010317081466279163,-0.0033498907104822437,1.1026205644019814e-05,2.2052411288039628e-05,False,False,union_hc,shared4
10-20%,vtype,4382,0.936330442720219,18201,0.7571562002087797,0.17917424251143932,0.16936770993540567,0.1884725376695866,2.0284063903382466e-151,6.08521917101474e-151,True,True,union_hc,shared4
>=20%,vtype,5805,0.875452196382429,36624,0.27659458278724336,0.5988576135951856,0.5889758468243654,0.6082800788768663,0.0,0.0,True,True,union_hc,shared4
