vtype,vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,denom,callerset
indel,<5%,lc,13,1.0,89,0.898876404494382,0.101123595505618,-0.1317647328506403,0.18113689930774302,0.5991432888957628,1.0,True,False,truth,native
indel,5-10%,lc,32,0.625,255,0.611764705882353,0.013235294117647012,-0.16862832533468236,0.17117375653320727,1.0,1.0,True,False,truth,native
indel,10-20%,lc,80,0.6625,342,0.34210526315789475,0.32039473684210523,0.1997779985572669,0.426106066834886,2.847625126236796e-07,1.7085750757420775e-06,True,True,truth,native
indel,>=20%,lc,258,0.26744186046511625,556,0.08453237410071943,0.18290948636439683,0.12624703784559188,0.24356430518665495,8.01268408330736e-12,5.6088788583151516e-11,True,True,truth,native
snv,<5%,lc,50,1.0,1242,0.998389694041868,0.0016103059581320522,-0.06974686261426491,0.005852391389411071,1.0,1.0,True,False,truth,native
snv,5-10%,lc,215,0.9720930232558139,3638,0.9612424409015943,0.010850582354219651,-0.021306412645120683,0.027359915105267713,0.532731465176969,1.0,True,False,truth,native
snv,10-20%,lc,361,0.5706371191135734,5910,0.4888324873096447,0.08180463180392872,0.02871126125860035,0.13345167504451275,0.0030385892319098897,0.015192946159549449,True,True,truth,native
snv,>=20%,lc,1762,0.16969353007945517,26268,0.060453784071874524,0.10923974600758066,0.09217962858598575,0.1276969801909161,7.65706267355899e-70,6.125650138847192e-69,True,True,truth,native
indel,<5%,lc,13,1.0,89,0.898876404494382,0.101123595505618,-0.1317647328506403,0.18113689930774302,0.5991432888957628,1.0,True,False,truth,shared4
indel,5-10%,lc,32,0.625,255,0.611764705882353,0.013235294117647012,-0.16862832533468236,0.17117375653320727,1.0,1.0,True,False,truth,shared4
indel,10-20%,lc,80,0.6625,342,0.34210526315789475,0.32039473684210523,0.1997779985572669,0.426106066834886,2.847625126236796e-07,1.7085750757420775e-06,True,True,truth,shared4
indel,>=20%,lc,258,0.26744186046511625,556,0.08453237410071943,0.18290948636439683,0.12624703784559188,0.24356430518665495,8.01268408330736e-12,5.6088788583151516e-11,True,True,truth,shared4
snv,<5%,lc,50,1.0,1242,0.9822866344605475,0.017713365539452464,-0.05388498537782033,0.026674536840071705,1.0,1.0,True,False,truth,shared4
snv,5-10%,lc,215,0.827906976744186,3638,0.8117097306212204,0.01619724612296558,-0.04124695864259155,0.06264637917973698,0.6160410359359672,1.0,True,False,truth,shared4
snv,10-20%,lc,361,0.42105263157894735,5910,0.33248730964467005,0.0885653219342773,0.037275925743315785,0.14142220033075403,0.0006808394740354731,0.0034041973701773656,True,True,truth,shared4
snv,>=20%,lc,1762,0.1424517593643587,26268,0.052839957362570425,0.08961180200178827,0.07382413794646954,0.10691266279556227,5.795353985652846e-54,4.636283188522277e-53,True,True,truth,shared4
indel,<5%,lc,14394,0.9996526330415451,3155,0.996513470681458,0.0031391623600870444,0.0015316895651072767,0.0058925435123957735,6.856281143256403e-07,2.056884342976921e-06,True,True,union,native
indel,5-10%,lc,7896,0.996580547112462,1437,0.9352818371607515,0.061298709951710495,0.0495995045619917,0.07525658991200176,3.2749924958662536e-79,1.3099969983465014e-78,True,True,union,native
indel,10-20%,lc,7350,0.9740136054421769,1075,0.7172093023255814,0.2568043031165954,0.23040456424621059,0.2846702186746592,3.395717593455791e-244,1.6978587967278954e-243,True,True,union,native
indel,>=20%,lc,21769,0.840690890716156,7269,0.5165772458384922,0.3241136448776638,0.31162671963328215,0.3365698354908156,0.0,0.0,True,True,union,native
snv,<5%,lc,38489,1.0,37111,1.0,0.0,-9.979670700099863e-05,0.00010350195958530595,1.0,1.0,False,False,union,native
snv,5-10%,lc,34838,1.0,34610,1.0,0.0,-0.00011025418461996228,0.00011098042455826018,1.0,1.0,False,False,union,native
snv,10-20%,lc,18519,0.99119822884605,16846,0.8012584589813606,0.1899397698646894,0.183808599415467,0.19616046087874697,0.0,0.0,True,True,union,native
snv,>=20%,lc,27967,0.8236850573890657,130369,0.3719212389448412,0.45176381844422453,0.44654374857989726,0.4569034052536705,0.0,0.0,True,True,union,native
indel,<5%,lc,14394,0.9996526330415451,3155,0.996513470681458,0.0031391623600870444,0.0015316895651072767,0.0058925435123957735,6.856281143256403e-07,1.3712562286512806e-06,True,True,union,shared4
indel,5-10%,lc,7896,0.996580547112462,1437,0.9352818371607515,0.061298709951710495,0.0495995045619917,0.07525658991200176,3.2749924958662536e-79,9.824977487598761e-79,True,True,union,shared4
indel,10-20%,lc,7350,0.9740136054421769,1075,0.7172093023255814,0.2568043031165954,0.23040456424621059,0.2846702186746592,3.395717593455791e-244,1.6978587967278954e-243,True,True,union,shared4
indel,>=20%,lc,21769,0.840690890716156,7269,0.5165772458384922,0.3241136448776638,0.31162671963328215,0.3365698354908156,0.0,0.0,True,True,union,shared4
snv,<5%,lc,34997,1.0,11537,1.0,0.0,-0.00010975332765095214,0.00033285777596048227,1.0,1.0,False,False,union,shared4
snv,5-10%,lc,34108,0.9991497595871937,33793,0.9868907761962536,0.012258983390940004,0.011042595818575635,0.013554218040842154,5.691658478350356e-82,2.2766633913401425e-81,True,True,union,shared4
snv,10-20%,lc,15600,0.9836538461538461,14429,0.6710097719869706,0.31264407416687545,0.3047368431018529,0.3205794769706705,0.0,0.0,True,True,union,shared4
snv,>=20%,lc,23888,0.7763730743469525,108838,0.22631801392895864,0.5500550604179938,0.544171450111403,0.5558500291410978,0.0,0.0,True,True,union,shared4
indel,<5%,lc,7575,0.9997359735973598,2381,0.99580008399832,0.003935889599039788,0.0018957094677188886,0.00745534544809952,2.444210864728413e-05,7.332632594185239e-05,True,True,union_hc,native
indel,5-10%,lc,4599,0.9984779299847792,934,0.911134903640257,0.08734302634452229,0.07065958028291085,0.10733143649806234,2.688012270660653e-81,1.0752049082642611e-80,True,True,union_hc,native
indel,10-20%,lc,3675,0.9915646258503401,707,0.6492220650636492,0.3423425607866909,0.3078790008554314,0.37832544146657054,3.1537875038657302e-254,1.8922725023194383e-253,True,True,union_hc,native
