vaf_bin,n,all_agree,majority,vtype,denom,dropped,K
<5%,1292,0.0015479876160990713,0.043343653250773995,snv,truth,MuTect2,5
5-10%,3853,0.038671165325720215,0.3693226057617441,snv,truth,MuTect2,5
10-20%,6271,0.5129963323233934,0.8548875777387976,snv,truth,MuTect2,5
>=20%,28030,0.9447734570103461,0.9961469853728149,snv,truth,MuTect2,5
<5%,1292,0.016253869969040248,0.23606811145510836,snv,truth,SomaticSniper,5
5-10%,3853,0.1674020243965741,0.645211523488191,snv,truth,SomaticSniper,5
10-20%,6271,0.6383351937490034,0.9386062828894913,snv,truth,SomaticSniper,5
>=20%,28030,0.9355333571173743,0.9965037459864431,snv,truth,SomaticSniper,5
<5%,1292,0.0015479876160990713,0.04411764705882353,snv,truth,VarDict,5
5-10%,3853,0.038671165325720215,0.36776537762782247,snv,truth,VarDict,5
10-20%,6271,0.5206506139371712,0.8547281135385106,snv,truth,VarDict,5
>=20%,28030,0.9530146271851587,0.9941134498751338,snv,truth,VarDict,5
<5%,1292,0.0015479876160990713,0.23219814241486067,snv,truth,MuSE,5
5-10%,3853,0.04100700752660265,0.6327536984168181,snv,truth,MuSE,5
10-20%,6271,0.5182586509328656,0.92792218147026,snv,truth,MuSE,5
>=20%,28030,0.9379950053514092,0.9952907599001071,snv,truth,MuSE,5
<5%,1292,0.0015479876160990713,0.04721362229102167,snv,truth,Strelka,5
5-10%,3853,0.038671165325720215,0.37840643654295353,snv,truth,Strelka,5
10-20%,6271,0.5086907989156434,0.8599904321479828,snv,truth,Strelka,5
>=20%,28030,0.9365322868355334,0.9957902247591865,snv,truth,Strelka,5
<5%,1292,0.0030959752321981426,0.23529411764705882,snv,truth,TNscope,5
5-10%,3853,0.04360238774980535,0.6439138333765897,snv,truth,TNscope,5
10-20%,6271,0.5361186413650135,0.9376494976877691,snv,truth,TNscope,5
>=20%,28030,0.9392436674991081,0.9953977880841955,snv,truth,TNscope,5
<5%,102,0.08823529411764706,0.27450980392156865,indel,truth,MuTect2,3
5-10%,287,0.3902439024390244,0.7003484320557491,indel,truth,MuTect2,3
10-20%,422,0.6137440758293838,0.8767772511848341,indel,truth,MuTect2,3
>=20%,814,0.9066339066339066,0.9766584766584766,indel,truth,MuTect2,3
<5%,102,0.08823529411764706,0.28431372549019607,indel,truth,VarDict,3
5-10%,287,0.3867595818815331,0.6968641114982579,indel,truth,VarDict,3
10-20%,422,0.6042654028436019,0.8838862559241706,indel,truth,VarDict,3
>=20%,814,0.8746928746928747,0.9766584766584766,indel,truth,VarDict,3
<5%,102,0.12745098039215685,0.5196078431372549,indel,truth,Strelka,3
5-10%,287,0.4425087108013937,0.8432055749128919,indel,truth,Strelka,3
10-20%,422,0.6208530805687204,0.9407582938388626,indel,truth,Strelka,3
>=20%,814,0.8673218673218673,0.9815724815724816,indel,truth,Strelka,3
<5%,102,0.23529411764705882,0.5294117647058824,indel,truth,TNscope,3
5-10%,287,0.6306620209059234,0.8536585365853658,indel,truth,TNscope,3
10-20%,422,0.8270142180094787,0.9383886255924171,indel,truth,TNscope,3
>=20%,814,0.8955773955773956,0.984029484029484,indel,truth,TNscope,3
<5%,75600,0.0,0.00030423280423280425,snv,union,MuTect2,5
5-10%,69448,1.4399262757746803e-05,0.018589448220251124,snv,union,MuTect2,5
10-20%,35365,0.10148451859182808,0.20110278523964373,snv,union,MuTect2,5
>=20%,158336,0.5977857215036378,0.6942767279708973,snv,union,MuTect2,5
<5%,75600,0.0,0.000753968253968254,snv,union,SomaticSniper,5
5-10%,69448,0.005889298467918443,0.05345006335675613,snv,union,SomaticSniper,5
10-20%,35365,0.1328149300155521,0.20706913615156228,snv,union,SomaticSniper,5
>=20%,158336,0.5610916026677445,0.6829842865804365,snv,union,SomaticSniper,5
<5%,75600,0.0,0.00015873015873015873,snv,union,VarDict,5
5-10%,69448,0.0,0.017739891717544063,snv,union,VarDict,5
10-20%,35365,0.10255902728686554,0.19242188604552524,snv,union,VarDict,5
>=20%,158336,0.5552117016976557,0.6690076798706548,snv,union,VarDict,5
<5%,75600,0.0,0.0005026455026455026,snv,union,MuSE,5
5-10%,69448,0.0,0.05077180048381523,snv,union,MuSE,5
10-20%,35365,0.10312455817899052,0.20432631132475612,snv,union,MuSE,5
>=20%,158336,0.5520222817299919,0.6790748787388844,snv,union,MuSE,5
<5%,75600,0.0,0.0004761904761904762,snv,union,Strelka,5
5-10%,69448,1.4399262757746803e-05,0.0202741619629075,snv,union,Strelka,5
10-20%,35365,0.10043828644139687,0.19841651350205006,snv,union,Strelka,5
>=20%,158336,0.5499317906224738,0.6848853071948262,snv,union,Strelka,5
<5%,75600,0.0,0.0006613756613756613,snv,union,TNscope,5
5-10%,69448,4.319778827324041e-05,0.05252851054026034,snv,union,TNscope,5
10-20%,35365,0.10654602007634667,0.20557047928743108,snv,union,TNscope,5
>=20%,158336,0.5496475848827809,0.6689571544058205,snv,union,TNscope,5
<5%,17549,0.0009687161661633141,0.018804490284346685,indel,union,MuTect2,3
5-10%,9333,0.016072002571520413,0.05228758169934641,indel,union,MuTect2,3
10-20%,8425,0.08261127596439169,0.17899109792284867,indel,union,MuTect2,3
>=20%,29038,0.39582615882636546,0.5111922308698946,indel,union,MuTect2,3
<5%,17549,0.0010826827739472335,0.04125591201777879,indel,union,VarDict,3
5-10%,9333,0.01500053573341905,0.04918032786885246,indel,union,VarDict,3
10-20%,8425,0.07335311572700297,0.15916913946587538,indel,union,VarDict,3
>=20%,29038,0.2517046628555686,0.4711412631723948,indel,union,VarDict,3
<5%,17549,0.010769844435580374,0.05800900336201493,indel,union,Strelka,3
5-10%,9333,0.018750669666773814,0.06568091717561342,indel,union,Strelka,3
10-20%,8425,0.0687240356083086,0.16985163204747775,indel,union,Strelka,3
>=20%,29038,0.24891521454645638,0.45213168951029686,indel,union,Strelka,3
<5%,17549,0.001823465724542709,0.023932987634623055,indel,union,TNscope,3
5-10%,9333,0.024643737276331297,0.055930568948891035,indel,union,TNscope,3
10-20%,8425,0.07418397626112759,0.15359050445103858,indel,union,TNscope,3
>=20%,29038,0.24326744266134032,0.4450719746539018,indel,union,TNscope,3
<5%,5574,0.0,0.0,snv,union_hc,MuTect2,5
5-10%,41602,0.0,0.025094947358300083,snv,union_hc,MuTect2,5
10-20%,20331,0.15783778466381387,0.2884757267227387,snv,union_hc,MuTect2,5
>=20%,39177,0.6804247390050284,0.7142966536488246,snv,union_hc,MuTect2,5
<5%,5574,0.0,0.0028704700394689632,snv,union_hc,SomaticSniper,5
5-10%,41602,0.008533243594057978,0.06389115907889044,snv,union_hc,SomaticSniper,5
10-20%,20331,0.20702375682455365,0.3007722197629236,snv,union_hc,SomaticSniper,5
>=20%,39177,0.6725885085636981,0.7125354161880695,snv,union_hc,SomaticSniper,5
<5%,5574,0.0,0.0001794043774668102,snv,union_hc,VarDict,5
5-10%,41602,0.0,0.025022835440603818,snv,union_hc,VarDict,5
10-20%,20331,0.16024789729969013,0.2872952633908809,snv,union_hc,VarDict,5
>=20%,39177,0.6863210557214692,0.7115909845062154,snv,union_hc,VarDict,5
<5%,5574,0.0,0.0028704700394689632,snv,union_hc,MuSE,5
5-10%,41602,0.0,0.06237680880726888,snv,union_hc,MuSE,5
10-20%,20331,0.16049382716049382,0.29806699129408293,snv,union_hc,MuSE,5
>=20%,39177,0.6752686525257167,0.7132756464251985,snv,union_hc,MuSE,5
<5%,5574,0.0,0.0,snv,union_hc,Strelka,5
5-10%,41602,0.0,0.026200663429642806,snv,union_hc,Strelka,5
10-20%,20331,0.15641139147115243,0.2894594461659535,snv,union_hc,Strelka,5
>=20%,39177,0.674579472649769,0.7131224953416545,snv,union_hc,Strelka,5
<5%,5574,0.0,0.002691065662002153,snv,union_hc,TNscope,5
5-10%,41602,0.0,0.06372289793759915,snv,union_hc,TNscope,5
10-20%,20331,0.1673798632629974,0.30057547587428063,snv,union_hc,TNscope,5
>=20%,39177,0.6757791561375297,0.7128417183551574,snv,union_hc,TNscope,5
<5%,9956,0.0012053033346725592,0.013559662515066292,indel,union_hc,MuTect2,3
5-10%,5533,0.01626604012289897,0.038677028736670886,indel,union_hc,MuTect2,3
10-20%,4382,0.0659516202647193,0.10383386581469649,indel,union_hc,MuTect2,3
>=20%,5805,0.1326442721791559,0.16141257536606374,indel,union_hc,MuTect2,3
<5%,9956,0.0012053033346725592,0.021795901968662112,indel,union_hc,VarDict,3
5-10%,5533,0.016627507681185615,0.041749502982107355,indel,union_hc,VarDict,3
10-20%,4382,0.06663623916020082,0.10588772250114104,indel,union_hc,VarDict,3
>=20%,5805,0.1276485788113695,0.16003445305770886,indel,union_hc,VarDict,3
<5%,9956,0.01124949779027722,0.03967456809963841,indel,union_hc,Strelka,3
5-10%,5533,0.019519248147478765,0.05458160130128321,indel,union_hc,Strelka,3
10-20%,4382,0.06777727065267002,0.11182108626198083,indel,union_hc,Strelka,3
