vtype,vaf_bin,a,b,jaccard
snv,<5%,MuTect2,SomaticSniper,2.991414639983248e-05
snv,<5%,MuTect2,VarDict,0.005688823516687936
snv,<5%,MuTect2,MuSE,0.0036270535523789203
snv,<5%,MuTect2,Strelka,0.22163355408388521
snv,<5%,MuTect2,TNscope,0.0031942078364565587
snv,<5%,SomaticSniper,VarDict,0.00043604855611663595
snv,<5%,SomaticSniper,MuSE,0.00034101759650797983
snv,<5%,SomaticSniper,Strelka,0.0001326259946949602
snv,<5%,SomaticSniper,TNscope,0.0007845009891534211
snv,<5%,VarDict,MuSE,0.004668135826165256
snv,<5%,VarDict,Strelka,0.0009957161051290958
snv,<5%,VarDict,TNscope,0.0025533725796155755
snv,<5%,MuSE,Strelka,0.0020905923344947735
snv,<5%,MuSE,TNscope,0.04948805460750853
snv,<5%,Strelka,TNscope,0.0006925207756232687
snv,5-10%,MuTect2,SomaticSniper,0.0013095238095238095
snv,5-10%,MuTect2,VarDict,0.0784449997781951
snv,5-10%,MuTect2,MuSE,0.1772752652149637
snv,5-10%,MuTect2,Strelka,0.50251677852349
snv,5-10%,MuTect2,TNscope,0.07929271998894875
snv,5-10%,SomaticSniper,VarDict,0.0015238489762102025
snv,5-10%,SomaticSniper,MuSE,0.005978602894902455
snv,5-10%,SomaticSniper,Strelka,0.0018185124568103291
snv,5-10%,SomaticSniper,TNscope,0.00782472613458529
snv,5-10%,VarDict,MuSE,0.02285325881730987
snv,5-10%,VarDict,Strelka,0.054398723218453106
snv,5-10%,VarDict,TNscope,0.012189050973766387
snv,5-10%,MuSE,Strelka,0.25470628260376504
snv,5-10%,MuSE,TNscope,0.2567698259187621
snv,5-10%,Strelka,TNscope,0.11284840244731476
snv,10-20%,MuTect2,SomaticSniper,0.28533168520807584
snv,10-20%,MuTect2,VarDict,0.2448782173086889
snv,10-20%,MuTect2,MuSE,0.6729694886119467
snv,10-20%,MuTect2,Strelka,0.6932673471491907
snv,10-20%,MuTect2,TNscope,0.5452060342209173
snv,10-20%,SomaticSniper,VarDict,0.1406036705596845
snv,10-20%,SomaticSniper,MuSE,0.31565210716204806
snv,10-20%,SomaticSniper,Strelka,0.3277732673998081
snv,10-20%,SomaticSniper,TNscope,0.3226186733731531
snv,10-20%,VarDict,MuSE,0.23587646615732272
snv,10-20%,VarDict,Strelka,0.24866489832007074
snv,10-20%,VarDict,TNscope,0.20636659129451668
snv,10-20%,MuSE,Strelka,0.7301864801864801
snv,10-20%,MuSE,TNscope,0.6255642670468045
snv,10-20%,Strelka,TNscope,0.6000660501981506
snv,>=20%,MuTect2,SomaticSniper,0.6740647419600625
snv,>=20%,MuTect2,VarDict,0.721729569519803
snv,>=20%,MuTect2,MuSE,0.8463030483881496
snv,>=20%,MuTect2,Strelka,0.8212636487204183
snv,>=20%,MuTect2,TNscope,0.8053382784623226
snv,>=20%,SomaticSniper,VarDict,0.6619765516153624
snv,>=20%,SomaticSniper,MuSE,0.7079911250136398
snv,>=20%,SomaticSniper,Strelka,0.7330893277767712
snv,>=20%,SomaticSniper,TNscope,0.7193398402839397
snv,>=20%,VarDict,MuSE,0.8253826530612245
snv,>=20%,VarDict,Strelka,0.8040734898394729
snv,>=20%,VarDict,TNscope,0.8354814665279439
snv,>=20%,MuSE,Strelka,0.8906244509259584
snv,>=20%,MuSE,TNscope,0.9095251008143878
snv,>=20%,Strelka,TNscope,0.890338960024454
indel,<5%,MuTect2,VarDict,0.022703877387624385
indel,<5%,MuTect2,Strelka,0.010879153190238165
indel,<5%,MuTect2,TNscope,0.19898391193903472
indel,<5%,VarDict,Strelka,0.0034451870736580997
indel,<5%,VarDict,TNscope,0.019497314145500363
indel,<5%,Strelka,TNscope,0.022026431718061675
indel,5-10%,MuTect2,VarDict,0.04271274861428106
indel,5-10%,MuTect2,Strelka,0.27672955974842767
indel,5-10%,MuTect2,TNscope,0.2768791627021884
indel,5-10%,VarDict,Strelka,0.036818851251840944
indel,5-10%,VarDict,TNscope,0.03101033677892631
indel,5-10%,Strelka,TNscope,0.2569832402234637
indel,10-20%,MuTect2,VarDict,0.09638100025131943
indel,10-20%,MuTect2,Strelka,0.3867595818815331
indel,10-20%,MuTect2,TNscope,0.400278940027894
indel,10-20%,VarDict,Strelka,0.1299545159194282
indel,10-20%,VarDict,TNscope,0.1207286432160804
indel,10-20%,Strelka,TNscope,0.45961820851688695
indel,>=20%,MuTect2,VarDict,0.3251661497563137
indel,>=20%,MuTect2,Strelka,0.47807328224612017
indel,>=20%,MuTect2,TNscope,0.4154576488158737
indel,>=20%,VarDict,Strelka,0.5019401217171098
indel,>=20%,VarDict,TNscope,0.4465034589053371
indel,>=20%,Strelka,TNscope,0.6441862754750418
