all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MuTect2,rate_SomaticSniper,rate_VarDict,rate_MuSE,rate_Strelka,rate_TNscope,vtype,grouping,denom,callerset,vaf_bin,lc
all,39446,6,29468,0.7470465953455356,0.7427328441461125,0.7513122338384068,0.8785428180297115,0.8841242880562458,38116,0.2268863469409172,0.011154489682097044,0.8914986140419706,0.5034047069831432,0.9462809917355371,0.7983318967702682,0.923642447903463,0.8710895908330376,0.9329463063428485,0.8324544947523196,snv,all,truth,native,,
,1292,6,2,0.0015479876160990713,0.00042461673364873687,0.005626631871894721,0.043343653250773995,0.21581527347781218,719,0.9972183588317107,0.11687306501547988,0.18192306351974585,0.16627351350277758,0.5356037151702786,0.0030959752321981426,0.29566563467492263,0.04643962848297214,0.39628482972136225,0.01780185758513932,snv,vaf_bin,truth,native,<5%,
,3853,6,147,0.03815208928107968,0.03254894809308856,0.04467524221930376,0.36724630158318194,0.4759062202612683,3255,0.9548387096774194,0.062029587334544514,0.37521387628636976,0.1810727231142402,0.8191019984427719,0.048793148196210744,0.722034778094991,0.3599792369582144,0.7015312743316896,0.20399688554373216,snv,vaf_bin,truth,native,5-10%,
,6271,6,3176,0.506458300111625,0.494084038500476,0.5188246541783067,0.8516982937330569,0.8247754212512625,6126,0.48155403199477637,0.005581247010046244,0.766165344815276,0.2514175481105332,0.9561473449210652,0.578536118641365,0.9437091372986764,0.8367086589060756,0.9303141444745655,0.7032371232658268,snv,vaf_bin,truth,native,10-20%,
,28030,6,26143,0.9326792722083482,0.9296861449913069,0.9355538199143228,0.9933285765251516,0.9843203710310382,28016,0.06685465448315249,0.0005351409204423831,0.974310357781698,0.16991980409737623,0.9804851944345344,0.9871922939707456,0.9758116303960043,0.9870495897252943,0.9900820549411345,0.9853014627185159,snv,vaf_bin,truth,native,>=20%,
,1242,6,2,0.001610305958132045,0.00044171510798921617,0.005852391389411185,0.04428341384863124,0.2159151905528717,692,0.9971098265895953,0.11916264090177134,0.18313763634018193,0.1675600206650356,0.535426731078905,0.00322061191626409,0.2938808373590982,0.04750402576489533,0.3969404186795491,0.018518518518518517,snv,vaf_bin+lc,truth,native,<5%,False
,50,6,0,0.0,6.938893903907228e-18,0.07134759913335872,0.02,0.21333333333333335,27,1.0,0.06,0.1415589627663931,0.13400423728813562,0.54,0.0,0.34,0.02,0.38,0.0,snv,vaf_bin+lc,truth,native,<5%,True
,3638,6,141,0.03875755909840572,0.032956463061972786,0.04553170344741054,0.36998350742166025,0.4778266446765622,3079,0.9542059110100682,0.06074766355140187,0.376314520723789,0.18006239845950356,0.8207806487080813,0.04920285871357889,0.7234744365035733,0.36256184716877404,0.7067069818581638,0.20423309510720175,snv,vaf_bin+lc,truth,native,5-10%,False
,215,6,6,0.027906976744186046,0.01285144499589911,0.059536387300876466,0.3209302325581395,0.4434108527131783,176,0.9659090909090909,0.08372093023255814,0.3556186622137614,0.19464518768139952,0.7906976744186046,0.04186046511627907,0.6976744186046512,0.31627906976744186,0.6139534883720931,0.2,snv,vaf_bin+lc,truth,native,5-10%,True
,5910,6,3021,0.5111675126903553,0.4984200958688621,0.523900421331192,0.8527918781725888,0.8272419627749578,5782,0.47751643030093394,0.005245346869712352,0.7681356471031967,0.24786158697621968,0.9598984771573604,0.5798646362098139,0.9470389170896785,0.8372250423011844,0.9346869712351946,0.7047377326565144,snv,vaf_bin+lc,truth,native,10-20%,False
