vtype,hypothesis,vaf_bin,threshold,n,all_agree,lo,hi,p_one_sided,supported,p_holm,supported_holm,purity,denom,callerset
indel,H1,>=20%,0.8,814,0.7518427518427518,0.7210328769918327,0.7802867804772434,0.9996528798755339,False,0.9996528798755339,False,1.0,truth,native
indel,H2,<5%,0.5,102,0.37254901960784315,0.2849497607818803,0.4693998080005515,0.006460225955563098,True,0.012920451911126197,True,1.0,truth,native
snv,H1,>=20%,0.8,28030,0.9198002140563681,0.9165628055524202,0.9229225726669517,0.0,True,0.0,True,1.0,truth,native
snv,H2,<5%,0.5,1292,0.003869969040247678,0.0016541179030834905,0.009027326749328555,0.0,True,0.0,True,1.0,truth,native
indel,H1,>=20%,0.8,814,0.7518427518427518,0.7210328769918327,0.7802867804772434,0.9996528798755339,False,0.9996528798755339,False,1.0,truth,shared4
indel,H2,<5%,0.5,102,0.37254901960784315,0.2849497607818803,0.4693998080005515,0.006460225955563098,True,0.012920451911126197,True,1.0,truth,shared4
snv,H1,>=20%,0.8,28030,0.9209061719586158,0.9176887060792551,0.9240082848472471,0.0,True,0.0,True,1.0,truth,shared4
snv,H2,<5%,0.5,1292,0.16021671826625386,0.14122715026567878,0.1812208282092181,3.512772285517156e-144,True,1.0538316856551469e-143,True,1.0,truth,shared4
indel,H1,>=20%,0.8,24998,0.2279382350588047,0.22277994800397988,0.23318012508090918,1.0,False,1.0,False,1.0,union,native
indel,H2,<5%,0.5,1359,0.0014716703458425313,0.00040367790685183393,0.00535007926713344,0.0,True,0.0,True,1.0,union,native
snv,H1,>=20%,0.8,168149,0.45715407168642097,0.454774016426836,0.4595360845801181,1.0,False,1.0,False,1.0,union,native
snv,H2,<5%,0.5,10710,0.0,0.0,0.00035855102350160835,0.0,True,0.0,True,1.0,union,native
indel,H1,>=20%,0.8,24998,0.2279382350588047,0.22277994800397988,0.23318012508090918,1.0,False,1.0,False,1.0,union,shared4
indel,H2,<5%,0.5,1359,0.0014716703458425313,0.00040367790685183393,0.00535007926713344,0.0,True,0.0,True,1.0,union,shared4
snv,H1,>=20%,0.8,120187,0.639694808922762,0.636976188979269,0.6424044992032386,1.0,False,1.0,False,1.0,union,shared4
snv,H2,<5%,0.5,8011,0.005117962801148421,0.003775057952010407,0.006935254817335981,0.0,True,0.0,True,1.0,union,shared4
indel,H1,>=20%,0.8,2619,0.35051546391752575,0.33247311862218165,0.3689956844704536,1.0,False,1.0,False,1.0,union_hc,native
indel,H2,<5%,0.5,1183,0.0016906170752324597,0.0004637506776849283,0.006143247049278365,0.0,True,0.0,True,1.0,union_hc,native
snv,H1,>=20%,0.8,52553,0.49296900272106253,0.48869526065700536,0.4972437725975137,1.0,False,1.0,False,1.0,union_hc,native
snv,H2,<5%,0.5,4312,0.0,0.0,0.0008900833956360867,0.0,True,0.0,True,1.0,union_hc,native
indel,H1,>=20%,0.8,2619,0.35051546391752575,0.33247311862218165,0.3689956844704536,1.0,False,1.0,False,1.0,union_hc,shared4
indel,H2,<5%,0.5,1183,0.0016906170752324597,0.0004637506776849283,0.006143247049278365,0.0,True,0.0,True,1.0,union_hc,shared4
snv,H1,>=20%,0.8,29024,0.8926405733186329,0.8890270107517373,0.896150214097484,0.0,True,0.0,True,1.0,union_hc,shared4
snv,H2,<5%,0.5,4312,0.007884972170686457,0.005648148234600805,0.01099784293679983,0.0,True,0.0,True,1.0,union_hc,shared4
indel,H1,>=20%,0.8,604,0.7251655629139073,0.6882239469597435,0.7592611596463801,0.9999961145419406,False,0.9999961145419406,False,0.75,truth,native
indel,H2,<5%,0.5,196,0.3979591836734694,0.332028626610804,0.4678127064336589,0.002604359867473993,True,0.005208719734947986,True,0.75,truth,native
snv,H1,>=20%,0.8,23650,0.9256236786469345,0.9222101068258851,0.9288990051992413,0.0,True,0.0,True,0.75,truth,native
snv,H2,<5%,0.5,2841,0.0010559662090813093,0.0003591873378946469,0.003100217681031723,0.0,True,0.0,True,0.75,truth,native
indel,H1,>=20%,0.8,604,0.7251655629139073,0.6882239469597435,0.7592611596463801,0.9999961145419406,False,0.9999961145419406,False,0.75,truth,shared4
indel,H2,<5%,0.5,196,0.3979591836734694,0.332028626610804,0.4678127064336589,0.002604359867473993,True,0.005208719734947986,True,0.75,truth,shared4
snv,H1,>=20%,0.8,23650,0.9265961945031712,0.9232026451513655,0.9298511827069198,0.0,True,0.0,True,0.75,truth,shared4
snv,H2,<5%,0.5,2841,0.26328757479760645,0.24742015531320324,0.27979427140653435,2.878152973021412e-146,True,8.634458919064235e-146,True,0.75,truth,shared4
indel,H1,>=20%,0.8,22374,0.24148565299007776,0.23592239000172868,0.24713767093903596,1.0,False,1.0,False,0.75,union,native
indel,H2,<5%,0.5,1057,0.000946073793755913,0.00016702478137093323,0.005339414255417751,6.85141463e-316,True,2.05542439e-315,True,0.75,union,native
snv,H1,>=20%,0.8,147472,0.5042380926548768,0.5016862091739165,0.5067897553476965,1.0,False,1.0,False,0.75,union,native
snv,H2,<5%,0.5,9722,0.0,0.0,0.00039497444380097067,0.0,True,0.0,True,0.75,union,native
indel,H1,>=20%,0.8,22374,0.24148565299007776,0.23592239000172868,0.24713767093903596,1.0,False,1.0,False,0.75,union,shared4
indel,H2,<5%,0.5,1057,0.000946073793755913,0.00016702478137093323,0.005339414255417751,6.85141463e-316,True,2.05542439e-315,True,0.75,union,shared4
snv,H1,>=20%,0.8,113190,0.6571075183320081,0.6543369346813339,0.6598674384685843,1.0,False,1.0,False,0.75,union,shared4
snv,H2,<5%,0.5,7502,0.0325246600906425,0.028743734960418123,0.036784089137530715,0.0,True,0.0,True,0.75,union,shared4
indel,H1,>=20%,0.8,1944,0.39969135802469136,0.37813519298443,0.42164317284000286,1.0,False,1.0,False,0.75,union_hc,native
indel,H2,<5%,0.5,925,0.001081081081081081,0.00019086285399590218,0.006098110108204501,3.2648632657242816e-276,True,9.794589797172845e-276,True,0.75,union_hc,native
snv,H1,>=20%,0.8,42628,0.5340386600356574,0.5293003481791421,0.5387708375988198,1.0,False,1.0,False,0.75,union_hc,native
snv,H2,<5%,0.5,4489,0.0,0.0,0.0008550176666377303,0.0,True,0.0,True,0.75,union_hc,native
indel,H1,>=20%,0.8,1944,0.39969135802469136,0.37813519298443,0.42164317284000286,1.0,False,1.0,False,0.75,union_hc,shared4
indel,H2,<5%,0.5,925,0.001081081081081081,0.00019086285399590218,0.006098110108204501,3.2648632657242816e-276,True,6.529726531448563e-276,True,0.75,union_hc,shared4
snv,H1,>=20%,0.8,24999,0.9106764270570823,0.9070775306276295,0.9141491301028135,0.0,True,0.0,True,0.75,union_hc,shared4
snv,H2,<5%,0.5,4489,0.04143461795500111,0.035986053914170944,0.04766734500174521,0.0,True,0.0,True,0.75,union_hc,shared4
indel,H1,>=20%,0.8,330,0.6848484848484848,0.632841041581689,0.7326018858215431,0.9999997235320054,False,0.9999997235320054,False,0.5,truth,native
indel,H2,<5%,0.5,389,0.38046272493573263,0.33360768591168966,0.42965559012036414,1.3946160493774566e-06,True,2.789232098754913e-06,True,0.5,truth,native
snv,H1,>=20%,0.8,16636,0.9245611925943736,0.9204492630371959,0.9284770945220511,0.0,True,0.0,True,0.5,truth,native
