vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,purity,denom,callerset
<5%,vtype,102,0.6274509803921569,1292,0.9961300309597523,-0.3686790505675954,-0.4655551838954241,-0.28092810478695185,8.17503903133004e-93,2.452511709399012e-92,False,False,1.0,truth,native
5-10%,vtype,287,0.37630662020905925,3853,0.9400467168440176,-0.5637400966349584,-0.6182672574352469,-0.5058576654973262,1.5758372876592868e-207,6.303349150637147e-207,False,False,1.0,truth,native
10-20%,vtype,422,0.24407582938388625,6271,0.421623345558922,-0.17754751617503575,-0.2180052555882862,-0.13269409581589287,1.0343044359905007e-12,1.0343044359905007e-12,False,False,1.0,truth,native
>=20%,vtype,814,0.24815724815724816,28030,0.08019978594363182,0.16795746221361635,0.13932979065651593,0.19892514717104226,6.292870695585064e-64,1.258574139117013e-63,True,True,1.0,truth,native
<5%,vtype,102,0.6274509803921569,1292,0.8397832817337462,-0.2123323013415893,-0.3110271791475709,-0.1222501012055238,1.22926490975196e-07,2.45852981950392e-07,False,False,1.0,truth,shared4
5-10%,vtype,287,0.37630662020905925,3853,0.5489229172073709,-0.1726162969983116,-0.22890452906317293,-0.1131567905541874,2.188895225527818e-08,6.566685676583454e-08,False,False,1.0,truth,shared4
10-20%,vtype,422,0.24407582938388625,6271,0.1843406155318131,0.059735213852073143,0.01995839098297319,0.1039180568369558,0.002929016039493101,0.002929016039493101,True,True,1.0,truth,shared4
>=20%,vtype,814,0.24815724815724816,28030,0.07909382804138423,0.16906342011586392,0.14043799694615983,0.20002907032223147,1.7535763458216692e-65,7.014305383286677e-65,True,True,1.0,truth,shared4
<5%,vtype,1359,0.9985283296541575,10710,1.0,-0.0014716703458425018,-0.0053500792671333786,-0.00034509736276706936,0.012671050969685328,0.012671050969685328,False,False,1.0,union,native
5-10%,vtype,1113,0.9263252470799641,7572,1.0,-0.07367475292003589,-0.0905323654303215,-0.05974066562289192,4.692082004479112e-75,1.4076246013437335e-74,False,False,1.0,union,native
10-20%,vtype,1322,0.7859304084720121,22571,0.8171104514642683,-0.031180042992256185,-0.054639302135309445,-0.00931203003273582,0.005054652433775414,0.010109304867550828,False,False,1.0,union,native
>=20%,vtype,24998,0.7720617649411953,168149,0.542845928313579,0.22921583662761624,0.22345892130406694,0.23489755386501132,0.0,0.0,True,True,1.0,union,native
<5%,vtype,1359,0.9985283296541575,8011,0.9948820371988516,0.0036462924553058995,-0.00045802834046373194,0.005754172461814953,0.07948445253944579,0.07948445253944579,True,False,1.0,union,shared4
5-10%,vtype,1113,0.9263252470799641,7262,0.7396034150371799,0.18672183204278425,0.16713926070239746,0.2039935774588471,2.6113040517280367e-42,5.2226081034560734e-42,True,True,1.0,union,shared4
10-20%,vtype,1322,0.7859304084720121,9128,0.36700262927256794,0.4189277791994442,0.39394210850830924,0.4423554557064484,1.4509811658435519e-182,4.352943497530656e-182,True,True,1.0,union,shared4
>=20%,vtype,24998,0.7720617649411953,120187,0.36030519107723796,0.4117565738639573,0.4058516347956013,0.4175832664726404,0.0,0.0,True,True,1.0,union,shared4
<5%,vtype,1183,0.9983093829247676,4312,1.0,-0.0016906170752324368,-0.0061432470492782665,-0.00017488305878409806,0.0463175809626715,0.0463175809626715,False,False,1.0,union_hc,native
5-10%,vtype,902,0.9146341463414634,5221,1.0,-0.08536585365853655,-0.1054054757050864,-0.06882661188747574,5.159943809553915e-66,2.063977523821566e-65,False,False,1.0,union_hc,native
10-20%,vtype,856,0.7102803738317757,17186,0.7815082043523799,-0.07122783052060422,-0.10309493035519823,-0.04117668947495874,1.2167551264367332e-06,2.4335102528734663e-06,False,False,1.0,union_hc,native
