vtype,vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,purity,denom,callerset
indel,<5%,lc,13,0.8461538461538461,89,0.5955056179775281,0.25064822817631804,-0.034484465003359444,0.40236276275479577,0.12396264107114041,0.37188792321342123,True,False,1.0,truth,native
indel,5-10%,lc,32,0.625,255,0.34509803921568627,0.27990196078431373,0.0972212381328808,0.43583586598748936,0.003887212508179791,0.015548850032719164,True,True,1.0,truth,native
indel,10-20%,lc,80,0.575,342,0.16666666666666666,0.4083333333333333,0.2908160200026502,0.5168266395014665,5.91706021512273e-14,3.5502361290736383e-13,True,True,1.0,truth,native
indel,>=20%,lc,258,0.5348837209302325,556,0.11510791366906475,0.41977580726116775,0.3522077020044757,0.4842823773216038,1.371325945510291e-37,9.599281618572037e-37,True,True,1.0,truth,native
snv,<5%,lc,50,1.0,1242,0.9959742351046699,0.004025764895330131,-0.06735905823464808,0.009389373725553707,1.0,1.0,True,False,1.0,truth,native
snv,5-10%,lc,215,0.9302325581395349,3638,0.9406267179769104,-0.010394159837375572,-0.05314815429802063,0.017843669704280026,0.6340755116091936,1.0,False,False,1.0,truth,native
snv,10-20%,lc,361,0.5650969529085873,5910,0.4128595600676819,0.15223739284090543,0.09915983635388784,0.20395690384940685,1.787080876640584e-08,8.93540438320292e-08,True,True,1.0,truth,native
snv,>=20%,lc,1762,0.2383654937570942,26268,0.06959037612303944,0.16877511763405478,0.1492092794205877,0.18944660618917963,3.4621171178870264e-140,2.769693694309621e-139,True,True,1.0,truth,native
indel,<5%,lc,13,0.8461538461538461,89,0.5955056179775281,0.25064822817631804,-0.034484465003359444,0.40236276275479577,0.12396264107114041,0.12396264107114041,True,False,1.0,truth,shared4
indel,5-10%,lc,32,0.625,255,0.34509803921568627,0.27990196078431373,0.0972212381328808,0.43583586598748936,0.003887212508179791,0.015548850032719164,True,True,1.0,truth,shared4
indel,10-20%,lc,80,0.575,342,0.16666666666666666,0.4083333333333333,0.2908160200026502,0.5168266395014665,5.91706021512273e-14,2.9585301075613653e-13,True,True,1.0,truth,shared4
indel,>=20%,lc,258,0.5348837209302325,556,0.11510791366906475,0.41977580726116775,0.3522077020044757,0.4842823773216038,1.371325945510291e-37,9.599281618572037e-37,True,True,1.0,truth,shared4
snv,<5%,lc,50,0.96,1242,0.8349436392914654,0.12505636070853454,0.028444934724635176,0.16122882667052085,0.016450805223518522,0.04101845602332439,True,True,1.0,truth,shared4
snv,5-10%,lc,215,0.6325581395348837,3638,0.5439802089059923,0.08857793062889141,0.02039871150275166,0.15226859727158287,0.013672818674441464,0.04101845602332439,True,True,1.0,truth,shared4
