vtype,purity,n,agree_100,agree_p,expected_vaf_median,lost,gained,mcnemar_p
snv,0.75,16636,0.9281678288050011,0.9319547968261601,0.44325001537799835,401,464,0.03502551935929028
snv,0.5,16636,0.9281678288050011,0.9245611925943736,0.2955000102519989,516,456,0.05843426023810308
snv,0.2,16636,0.9281678288050011,0.49422938206299594,0.11820000410079956,7465,246,0.0
snv,0.1,16636,0.9281678288050011,0.08181053137773503,0.05910000205039978,14130,50,0.0
snv,0.05,16636,0.9281678288050011,0.005530175522962251,0.02955000102519989,15350,1,0.0
indel,0.75,330,0.7424242424242424,0.7151515151515152,0.3971250057220459,14,5,0.0664574200169312
indel,0.5,330,0.7424242424242424,0.6848484848484848,0.26475000381469727,24,5,0.0008302254277448881
indel,0.2,330,0.7424242424242424,0.3242424242424242,0.10590000152587892,139,1,5.289475456744671e-31
indel,0.1,330,0.7424242424242424,0.08787878787878788,0.05295000076293946,217,1,4.926351735729444e-48
indel,0.05,330,0.7424242424242424,0.024242424242424242,0.02647500038146973,238,1,1.2968768349572723e-52
