vaf_bin,lc,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_TNscope,rate_lancet,rate_muTect2,rate_somaticSniper,rate_strelka,vtype,callerset
<5%,False,86080,5,303,0.003519981412639405,0.0031458844774674894,0.00393838881338489,0.26509061338289963,0.23930762081784387,34305,0.9911674682990818,0.04859433085501859,0.399192341160607,0.47238533679382405,0.2970027881040892,0.2569702602230483,0.3851068773234201,0.004089219330855019,0.2533689591078067,snv,native
<5%,True,5334,5,21,0.003937007874015748,0.002576561006092817,0.006011453301627372,0.18747656542932134,0.18841394825646793,1926,0.9890965732087228,0.06205474315710536,0.3098446110714015,0.3965504425205919,0.2705286839145107,0.14023247094113236,0.3323959505061867,0.007686539182602175,0.19122609673790777,snv,native
5-10%,False,37236,5,4311,0.11577505639703513,0.11256482564352169,0.11906455624734999,0.8074175529057901,0.6778816199376947,34369,0.8745671971835084,0.036980341604898485,0.5589656051358126,0.15583779017217816,0.8004619185734235,0.7634547212375121,0.8929262004511763,0.12595337845096144,0.8066118809754002,snv,native
5-10%,True,2419,5,222,0.09177346010748243,0.08090664999173038,0.10393477130319774,0.638693675072344,0.5596527490698635,2100,0.8942857142857142,0.08515915667631252,0.47064055507453384,0.22132660395930348,0.7234394377842084,0.4828441504754031,0.7899958660603555,0.13559322033898305,0.666391070690368,snv,native
10-20%,False,34837,5,22865,0.6563423945804748,0.6513382117079279,0.6613121016570557,0.972356976777564,0.9074547176852198,34620,0.33954361640670133,0.005970663375147114,0.8492226456563843,0.1240189335370167,0.9629129948043746,0.9362459454028762,0.9556218962597238,0.7098774291701352,0.9726153227889888,snv,native
10-20%,True,2299,5,1155,0.5023923444976076,0.48196716060649264,0.5228095468641263,0.8729882557633754,0.8099173553719009,2245,0.48552338530066813,0.033927794693344934,0.752782585480417,0.26229159856162165,0.880817746846455,0.7268377555458895,0.8538494997825141,0.6863853849499783,0.9016963897346673,snv,native
>=20%,False,64195,5,59883,0.9328296596308123,0.9308672792360473,0.9347402416667265,0.998442246280863,0.9848897889243711,64188,0.06706861095531876,0.0005607913388893216,0.9720640049538389,0.06264042264372387,0.9964950541319417,0.97680504712205,0.9591401199470364,0.9958875301814784,0.9961211932393489,snv,native
>=20%,True,4276,5,3289,0.7691768007483629,0.7563091721252794,0.7815612191378384,0.9719363891487371,0.930402245088868,4269,0.22956195830405246,0.007249766136576239,0.8922405996474521,0.18450695584111118,0.9630495790458372,0.8617867165575304,0.8783910196445276,0.9876052385406923,0.961178671655753,snv,native
<5%,,91414,5,324,0.0035443148751832325,0.0031793751584926985,0.003950977608743849,0.2605618395431772,0.23633797886538166,36231,0.9910573818001159,0.049379744896842936,0.39469157303265195,0.4690523218821183,0.29545802612291333,0.2501586190299079,0.38203119872229635,0.004299122672675957,0.2497429277791148,snv,native
5-10%,,39655,5,4533,0.11431093178665994,0.11121649434111024,0.1174800869303891,0.7971252048921952,0.6706695246501072,36469,0.8757026515670844,0.0399193039969739,0.5540967239637837,0.1633552570259361,0.7957634598411297,0.7463371579876434,0.886647333249275,0.12654141974530325,0.7980582524271844,snv,native
10-20%,,37136,5,24020,0.6468117190866006,0.6419355715251126,0.6516574965037308,0.9662052994398966,0.9014164153382163,36865,0.34843347348433473,0.007701421800947867,0.8436025851321316,0.14429489692026617,0.9578306764325721,0.923281990521327,0.9493214131839725,0.7084230934941835,0.9682249030590263,snv,native
>=20%,,68471,5,63172,0.9226095719355639,0.9205843170937453,0.9245874097338893,0.9967869609031561,0.981487052912912,68457,0.07720174708210993,0.000978516452220648,0.9671642823783735,0.09872978968507616,0.9944063910268581,0.9696221758116574,0.9540973550846343,0.9953703027559112,0.9939390398854989,snv,native
<5%,False,86080,4,15405,0.1789614312267658,0.17641507591481723,0.18153643898778957,0.26503252788104087,0.2981122211895911,34305,0.5509400961958898,0.04859433085501859,0.6562505473428909,0.7038557586466181,0.2970027881040892,0.2569702602230483,0.3851068773234201,,0.2533689591078067,snv,shared4
<5%,True,5334,4,469,0.08792650918635171,0.08062031384603965,0.09582581444132582,0.18672665916760406,0.2335958005249344,1926,0.7564901349948079,0.06242969628796401,0.4967346177813829,0.5664647419688207,0.2705286839145107,0.14023247094113236,0.3323959505061867,,0.19122609673790777,snv,shared4
5-10%,False,37236,4,24142,0.648351058115802,0.643486152886374,0.6531853571740738,0.8062359007412182,0.8158636803093781,34367,0.29752378735414786,0.037034053066924484,0.8310951694617753,0.49883529250842096,0.8004619185734235,0.7634547212375121,0.8929262004511763,,0.8066118809754002,snv,shared4
5-10%,True,2419,4,933,0.38569656883009507,0.3664948909394775,0.40526070702310246,0.6300124018189335,0.6656676312525837,2097,0.5550786838340487,0.086812732534105,0.6649347397792281,0.40327888836177256,0.7234394377842084,0.4828441504754031,0.7899958660603555,,0.666391070690368,snv,shared4
10-20%,False,34837,4,30620,0.8789505410913684,0.8754834502055815,0.8823340678129314,0.9676780434595401,0.9568490398139908,34616,0.11543794776981743,0.0065447656227574135,0.938639682058905,0.2662479794838256,0.9629129948043746,0.9362459454028762,0.9556218962597238,,0.9726153227889888,snv,shared4
10-20%,True,2299,4,1466,0.6376685515441496,0.6178054659342515,0.6570723366931882,0.8342757720748152,0.8408003479773815,2228,0.34201077199281865,0.0469769464984776,0.8054543229471928,0.3262556103040192,0.880817746846455,0.7268377555458895,0.8538494997825141,,0.9016963897346673,snv,shared4
>=20%,False,64195,4,60049,0.9354155308045798,0.9334879975916047,0.9372909561977417,0.9946724822805515,0.9821403536100942,64181,0.06438042411305527,0.001090427603395903,0.9670947881577742,0.06351900206993448,0.9964950541319417,0.97680504712205,0.9591401199470364,,0.9961211932393489,snv,shared4
>=20%,True,4276,4,3297,0.7710477081384471,0.7582143443035254,0.7833945031977376,0.9246959775491114,0.916101496725912,4249,0.22405271828665568,0.018709073900841908,0.877072157579691,0.22131274243460972,0.9630495790458372,0.8617867165575304,0.8783910196445276,,0.961178671655753,snv,shared4
<5%,,91414,4,15874,0.17364955039709454,0.17120765984522046,0.17611886801994864,0.2604633863521999,0.2943476929135581,36231,0.5618669095525931,0.04940162338372678,0.6482895305001034,0.6972719630230511,0.29545802612291333,0.2501586190299079,0.38203119872229635,,0.2497429277791148,snv,shared4
