all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_TNscope,rate_lancet,rate_muTect2,rate_somaticSniper,rate_strelka,vtype,grouping,purity,denom,callerset,vaf_bin,lc
all,39446,5,29645,0.7515337423312883,0.7472450194846536,0.7557734785925554,0.9549764234649901,0.9117679866146124,38878,0.2374864962189413,0.010977031891700045,0.8860474016087135,0.3155112476208845,0.9047305176697257,0.936216599908736,0.9349236931501292,0.8179029559397658,0.9650661664047052,snv,all,1.0,truth,native,,
,1292,5,5,0.003869969040247678,0.0016541179030834905,0.009027326749328555,0.5743034055727554,0.4504643962848297,1033,0.995159728944821,0.08591331269349846,0.316431957746139,0.13391413774744693,0.1780185758513932,0.6354489164086687,0.7693498452012384,0.0046439628482972135,0.6648606811145511,snv,vaf_bin,1.0,truth,native,<5%,
,3853,5,231,0.05995328315598235,0.05288649620228348,0.0678966533760594,0.7786140669608097,0.6208149493900856,3592,0.9356904231625836,0.056579288865818846,0.4605038789872767,0.08126766955331381,0.5027251492343628,0.8017129509473138,0.8912535686478069,0.06773942382559045,0.8406436542953543,snv,vaf_bin,1.0,truth,native,5-10%,
,6271,5,3627,0.578376654441078,0.5661101758896294,0.5905471685948553,0.9540743103173338,0.8755860309360548,6225,0.41734939759036144,0.012757136022962846,0.805425851027327,0.14116186929036165,0.9016105884228991,0.9240950406633711,0.9357359272843246,0.6443948333599107,0.9720937649497687,snv,vaf_bin,1.0,truth,native,10-20%,
,28030,5,25782,0.9198002140563681,0.9165628055524202,0.9229225726669517,0.9969675347841598,0.9811202283267928,28028,0.080134151562723,0.0008562254727078131,0.9660198161821139,0.08495391973535314,0.9941848019978594,0.9712807706029254,0.9483767392079915,0.9973242953977881,0.9944345344273993,snv,vaf_bin,1.0,truth,native,>=20%,
,1242,5,5,0.004025764895330112,0.0017207548728286532,0.009389373725553653,0.5756843800322061,0.4510466988727858,989,0.9949443882709808,0.08293075684380032,0.3197093445860816,0.13892798417025992,0.1819645732689211,0.6384863123993558,0.7665056360708534,0.004830917874396135,0.6634460547504025,snv,vaf_bin+lc,1.0,truth,native,<5%,False
,50,5,0,0.0,6.938893903907228e-18,0.07134759913335872,0.54,0.43600000000000005,44,1.0,0.16,0.2366329172463896,0.007742859001886983,0.08,0.56,0.84,0.0,0.7,snv,vaf_bin+lc,1.0,truth,native,<5%,True
,3638,5,216,0.05937328202308961,0.0521487645476727,0.0675273563787525,0.78587135788895,0.6238042880703684,3393,0.9363395225464191,0.05387575590984057,0.46243060948263953,0.0782892476374101,0.5016492578339747,0.8128092358438702,0.8930731170973062,0.06679494227597581,0.8446948873007146,snv,vaf_bin+lc,1.0,truth,native,5-10%,False
,215,5,15,0.06976744186046512,0.04273253685552896,0.11190662065631085,0.6558139534883721,0.5702325581395349,199,0.9246231155778895,0.10232558139534884,0.4266477997939543,0.11936893992358905,0.5209302325581395,0.6139534883720931,0.8604651162790697,0.08372093023255814,0.772093023255814,snv,vaf_bin+lc,1.0,truth,native,5-10%,True
,5910,5,3470,0.5871404399323181,0.5745353931001951,0.5996322789911357,0.9590524534686972,0.8806429780033842,5870,0.4088586030664395,0.011336717428087987,0.8108279673639333,0.13217131720765962,0.9060913705583756,0.9346869712351946,0.9414551607445009,0.6470389170896785,0.9739424703891709,snv,vaf_bin+lc,1.0,truth,native,10-20%,False
,361,5,157,0.43490304709141275,0.3847147837633488,0.4864621374343632,0.8725761772853186,0.7927977839335181,355,0.5577464788732395,0.036011080332409975,0.7125845179947442,0.19731910297948016,0.8282548476454293,0.7506925207756233,0.8421052631578947,0.6011080332409973,0.9418282548476454,snv,vaf_bin+lc,1.0,truth,native,10-20%,True
,26268,5,24440,0.9304096238769606,0.9272691379062266,0.9334242411796194,0.9986295111923252,0.9845210902999847,26267,0.06955495488635931,0.0004948987361047662,0.9710776965301433,0.05222569968324792,0.9963834323130806,0.9784909395462159,0.9535937262067915,0.9976777828536623,0.9964595705801736,snv,vaf_bin+lc,1.0,truth,native,>=20%,False
,1762,5,1342,0.7616345062429057,0.7411840167230148,0.7809466623333889,0.9721906923950057,0.9304199772985244,1761,0.23793299261783077,0.006242905788876277,0.8893179891024617,0.16103770905720577,0.9614074914869466,0.8637911464245176,0.8706015891032917,0.9920544835414302,0.9642451759364359,snv,vaf_bin+lc,1.0,truth,native,>=20%,True
all,1625,4,1148,0.7064615384615385,0.6838543358939059,0.7280949034665746,0.8633846153846154,0.8613846153846154,1552,0.2603092783505155,0.03446153846153846,0.8556448181537039,0.43951066257867893,0.8295384615384616,0.8910769230769231,0.8178461538461539,,0.9070769230769231,indel,all,1.0,truth,native,,
,102,4,38,0.37254901960784315,0.2849497607818803,0.4693998080005515,0.5,0.571078431372549,79,0.5189873417721519,0.13725490196078433,0.6747389261289342,0.543053341508277,0.46078431372549017,0.6568627450980392,0.6666666666666666,,0.5,indel,vaf_bin,1.0,truth,native,<5%,
,287,4,179,0.6236933797909407,0.5663585849107851,0.6777606692281923,0.8222996515679443,0.8292682926829268,273,0.3443223443223443,0.0313588850174216,0.8028563920566532,0.3642456982793116,0.6898954703832753,0.8954703832752613,0.8780487804878049,,0.8536585365853658,indel,vaf_bin,1.0,truth,native,5-10%,
,422,4,319,0.7559241706161137,0.712753487240162,0.7944775385932092,0.8957345971563981,0.8868483412322274,405,0.2123456790123457,0.023696682464454975,0.8844717542810256,0.45883622976027644,0.8436018957345972,0.9146919431279621,0.8649289099526066,,0.9241706161137441,indel,vaf_bin,1.0,truth,native,10-20%,
,814,4,612,0.7518427518427518,0.7210328769918327,0.7802867804772434,0.9066339066339066,0.8958845208845209,795,0.23018867924528302,0.028255528255528257,0.8745174084412373,0.36012437179535167,0.9176904176904177,0.9066339066339066,0.7911547911547911,,0.9680589680589681,indel,vaf_bin,1.0,truth,native,>=20%,
,89,4,36,0.4044943820224719,0.3085343968169969,0.5083577522730738,0.4943820224719101,0.5646067415730337,66,0.45454545454545453,0.12359550561797752,0.7186840552733108,0.6152998448617127,0.47191011235955055,0.6404494382022472,0.6404494382022472,,0.5056179775280899,indel,vaf_bin+lc,1.0,truth,native,<5%,False
,13,4,2,0.15384615384615385,0.043258178358081184,0.4223463101948254,0.5384615384615384,0.6153846153846154,13,0.8461538461538461,0.23076923076923078,0.44486531986531985,0.024999999999999894,0.38461538461538464,0.7692307692307693,0.8461538461538461,,0.46153846153846156,indel,vaf_bin+lc,1.0,truth,native,<5%,True
,255,4,167,0.6549019607843137,0.5946425229003536,0.7105636073692385,0.8549019607843137,0.8519607843137255,246,0.32113821138211385,0.03137254901960784,0.8192840782753992,0.33409033752733946,0.7137254901960784,0.9176470588235294,0.8980392156862745,,0.8784313725490196,indel,vaf_bin+lc,1.0,truth,native,5-10%,False
,32,4,12,0.375,0.22933887309454212,0.5474559264692255,0.5625,0.6484375,27,0.5555555555555556,0.03125,0.6500252525252526,0.3945560017849173,0.5,0.71875,0.71875,,0.65625,indel,vaf_bin+lc,1.0,truth,native,5-10%,True
,342,4,285,0.8333333333333334,0.7901792317133285,0.8690823871147644,0.9707602339181286,0.9488304093567251,342,0.16666666666666666,0.008771929824561403,0.9125253997822934,0.10666960158485617,0.9152046783625731,0.97953216374269,0.9210526315789473,,0.97953216374269,indel,vaf_bin+lc,1.0,truth,native,10-20%,False
,80,4,34,0.425,0.3225656178960177,0.5343071015343113,0.575,0.621875,63,0.4603174603174603,0.0875,0.7201007869045951,0.570303307169456,0.5375,0.6375,0.625,,0.6875,indel,vaf_bin+lc,1.0,truth,native,10-20%,True
,556,4,492,0.8848920863309353,0.8556824183178023,0.9088197335978166,0.9910071942446043,0.9689748201438849,556,0.11510791366906475,0.0,0.9408096778724976,0.01783740766894185,0.9928057553956835,0.9658273381294964,0.9172661870503597,,1.0,indel,vaf_bin+lc,1.0,truth,native,>=20%,False
,258,4,120,0.46511627906976744,0.4052116442137428,0.5260444674766287,0.7248062015503876,0.7383720930232558,239,0.497907949790795,0.08914728682170543,0.7076643241054609,0.35460289686011465,0.7558139534883721,0.7790697674418605,0.5193798449612403,,0.8992248062015504,indel,vaf_bin+lc,1.0,truth,native,>=20%,True
all,39446,4,32873,0.8333671348172185,0.8296572727210358,0.8370120731482746,0.9491963697206307,0.935234244283324,38867,0.15421823140453342,0.012269938650306749,0.9180338101510097,0.34000607955497497,0.9047305176697257,0.936216599908736,0.9349236931501292,,0.9650661664047052,snv,all,1.0,truth,shared4,,
,1292,4,207,0.16021671826625386,0.14122715026567878,0.1812208282092181,0.5743034055727554,0.5619195046439629,1033,0.7996127783155856,0.08591331269349846,0.5198548020752669,0.30356082508347193,0.1780185758513932,0.6354489164086687,0.7693498452012384,,0.6648606811145511,snv,vaf_bin,1.0,truth,shared4,<5%,
,3853,4,1738,0.45107708279262915,0.43542162745284,0.4668299937182114,0.7780949909161692,0.7590838307812094,3592,0.5161469933184856,0.057357902932779654,0.7074749995947501,0.29808458741036237,0.5027251492343628,0.8017129509473138,0.8912535686478069,,0.8406436542953543,snv,vaf_bin,1.0,truth,shared4,5-10%,
,6271,4,5115,0.8156593844681869,0.8058699281409734,0.8250623473565597,0.9468984213044171,0.9333838303300909,6224,0.17818123393316196,0.01403284962525913,0.9044076215114769,0.2466424523420598,0.9016105884228991,0.9240950406633711,0.9357359272843246,,0.9720937649497687,snv,vaf_bin,1.0,truth,shared4,10-20%,
,28030,4,25813,0.9209061719586158,0.9176887060792551,0.9240082848472471,0.9905101676774885,0.9770692115590439,28018,0.07869940752373474,0.0022832679272208347,0.9594126384359335,0.09701721709717631,0.9941848019978594,0.9712807706029254,0.9483767392079915,,0.9944345344273993,snv,vaf_bin,1.0,truth,shared4,>=20%,
,1242,4,205,0.16505636070853463,0.14544931990537557,0.18672894875846707,0.5756843800322061,0.5626006441223832,989,0.7927199191102123,0.08293075684380032,0.5251105782781399,0.312082996146396,0.1819645732689211,0.6384863123993558,0.7665056360708534,,0.6634460547504025,snv,vaf_bin+lc,1.0,truth,shared4,<5%,False
,50,4,2,0.04,0.011038884327619805,0.1346009068750702,0.54,0.545,44,0.9545454545454546,0.16,0.39438819541064934,0.09265046879725768,0.08,0.56,0.84,,0.7,snv,vaf_bin+lc,1.0,truth,shared4,<5%,True
,3638,4,1659,0.4560197910940077,0.4398901217523881,0.4722422421579226,0.7853216052776251,0.7630566245189665,3393,0.51105216622458,0.054425508521165476,0.7115872506902182,0.298117384453196,0.5016492578339747,0.8128092358438702,0.8930731170973062,,0.8446948873007146,snv,vaf_bin+lc,1.0,truth,shared4,5-10%,False
,215,4,79,0.3674418604651163,0.3058518198833036,0.4336856502689929,0.6558139534883721,0.6918604651162791,199,0.6030150753768844,0.10697674418604651,0.6343051174115666,0.28185613868188725,0.5209302325581395,0.6139534883720931,0.8604651162790697,,0.772093023255814,snv,vaf_bin+lc,1.0,truth,shared4,5-10%,True
,5910,4,4898,0.8287648054145516,0.818947676836711,0.8381548219466981,0.9532994923857868,0.9390439932318105,5870,0.165587734241908,0.012351945854483926,0.9116131196131199,0.2415298136448484,0.9060913705583756,0.9346869712351946,0.9414551607445009,,0.9739424703891709,snv,vaf_bin+lc,1.0,truth,shared4,10-20%,False
,361,4,217,0.6011080332409973,0.5497863614823489,0.6503005481467369,0.8421052631578947,0.8407202216066482,354,0.3870056497175141,0.04155124653739612,0.781113335812175,0.23116300169519896,0.8282548476454293,0.7506925207756233,0.8421052631578947,,0.9418282548476454,snv,vaf_bin+lc,1.0,truth,shared4,10-20%,True
,26268,4,24469,0.9315136287498097,0.9283956669388407,0.9345053990383452,0.9948225978376732,0.9812319171615654,26264,0.06834450197989643,0.001104004872849094,0.9651255508077282,0.05460288854831028,0.9963834323130806,0.9784909395462159,0.9535937262067915,,0.9964595705801736,snv,vaf_bin+lc,1.0,truth,shared4,>=20%,False
,1762,4,1344,0.7627695800227015,0.7423491426082282,0.7820467454679433,0.9262202043132803,0.9150113507377979,1754,0.233751425313569,0.019863791146424517,0.8722289318706391,0.19903928369787707,0.9614074914869466,0.8637911464245176,0.8706015891032917,,0.9642451759364359,snv,vaf_bin+lc,1.0,truth,shared4,>=20%,True
