vtype,vaf_bin,factor,n_hi,disc_hi,n_lo,disc_lo,diff,diff_lo,diff_hi,p,p_holm,direction_supports,sig_supports,filter,centers
indel,5-10%,lc,1153,0.7736339982653946,8417,0.7888796483307592,-0.015245650065364602,-0.04171725339572625,0.00960655003963129,0.2511665527518342,0.7534996582555026,False,False,PASS,starred_counted
indel,10-20%,lc,6758,0.5238236164545723,28103,0.3165142511475643,0.207309365307008,0.19419951380628508,0.22037375599106293,1.0626093274839369e-223,5.3130466374196844e-223,True,True,PASS,starred_counted
indel,>=20%,lc,37456,0.681412857753097,64686,0.1763751043502458,0.5050377534028512,0.4994539858639639,0.5105696218013481,0.0,0.0,True,True,PASS,starred_counted
snv,<5%,lc,1305,1.0,27091,1.0,0.0,-0.0029350069825532232,0.00014177823577721238,1.0,1.0,False,False,PASS,starred_counted
snv,5-10%,lc,6879,1.0,188729,0.9999788055889662,2.1194411033764737e-05,-0.0005370769275514223,5.4499786864781186e-05,1.0,1.0,True,False,PASS,starred_counted
snv,10-20%,lc,20322,0.7546009251057967,573805,0.7136361655963263,0.04096475950947043,0.03488723384023093,0.04694843160855026,5.478931162350869e-37,2.1915724649403474e-36,True,True,PASS,starred_counted
snv,>=20%,lc,68246,0.2495384344870029,1870406,0.15612813474721532,0.0934102997397876,0.09013605631219553,0.09671215919753501,0.0,0.0,True,True,PASS,starred_counted
indel,5-10%,lc,1153,1.0,8417,1.0,0.0,-0.003320644148257279,0.00045618467459318524,1.0,1.0,False,False,PASS,strict
indel,10-20%,lc,6758,1.0,28103,1.0,0.0,-0.0005681083835060718,0.00013667344394863168,1.0,1.0,False,False,PASS,strict
indel,>=20%,lc,37456,1.0,64686,1.0,0.0,-0.00010254872073933718,5.938272121341903e-05,1.0,1.0,False,False,PASS,strict
snv,<5%,lc,1305,1.0,27091,1.0,0.0,-0.0029350069825532232,0.00014177823577721238,1.0,1.0,False,False,PASS,strict
snv,5-10%,lc,6879,1.0,188729,0.9999788055889662,2.1194411033764737e-05,-0.0005370769275514223,5.4499786864781186e-05,1.0,1.0,True,False,PASS,strict
snv,10-20%,lc,20322,0.7546009251057967,573805,0.7136361655963263,0.04096475950947043,0.03488723384023093,0.04694843160855026,5.478931162350869e-37,3.287358697410521e-36,True,True,PASS,strict
snv,>=20%,lc,68246,0.2495384344870029,1870406,0.15612813474721532,0.0934102997397876,0.09013605631219553,0.09671215919753501,0.0,0.0,True,True,PASS,strict
