all,n,K,n_all_agree,all_agree,all_agree_lo,all_agree_hi,majority,mean_frac_callers,detected,detected_discord,singleton,jaccard,fleiss_kappa,rate_MUTECT,rate_MUSE,rate_VARSCANS,rate_SOMATICSNIPER,rate_RADIA,vtype,grouping,filter,centers,vaf_bin,lc,rate_INDELOCATOR,rate_VARSCANI,rate_PINDEL
all,2756783,5,1798907,0.6525384841679596,0.6519761853794623,0.6531003578453842,0.8873966503711028,0.8702663938365841,2756783,0.34746151583204044,1.8137082244050402e-06,0.8152554126254439,0.2174484703460233,0.9708754733325039,0.9632060267347847,0.8743803919278377,0.7024568128866145,0.84041326430118,snv,all,PASS,starred_counted,,,,,
,28396,5,0,0.0,0.0,0.0001352633896306843,0.0,0.4,28396,1.0,0.0,0.1111111111111111,-0.2499999999999999,0.9988730807155938,1.0,0.0,0.0,0.0011269192844062545,snv,vaf_bin,PASS,starred_counted,<5%,,,,
,195608,5,4,2.0449061388082287e-05,7.952268448199648e-06,5.258322230933169e-05,0.41644002290294874,0.5033945441904216,195608,0.9999795509386119,5.112265347020572e-06,0.23070301026564902,-0.15982810981719867,0.9658602920125966,0.8961596662713182,0.49127336305263586,0.000143143429716576,0.16353625618584108,snv,vaf_bin,PASS,starred_counted,5-10%,,,,
,594127,5,169304,0.28496264266730853,0.28381623442631654,0.286111831633001,0.8871689049647634,0.7904841894073152,594127,0.7150373573326915,1.6831418198465984e-06,0.6468143532942823,0.0038687653916268786,0.9563628651786571,0.9323747279622033,0.8930279216396494,0.3032634436745006,0.8673919885815659,snv,vaf_bin,PASS,starred_counted,10-20%,,,,
,1938652,5,1629599,0.8405835601232197,0.8400675912335626,0.8410981792759166,0.9479834441663589,0.9386218877859461,1938652,0.15941643987678036,1.547467002845276e-06,0.9158109027374755,0.2808864557802138,0.9754190024821371,0.9788806861675019,0.9201280064704753,0.9059470188564013,0.912734724953215,snv,vaf_bin,PASS,starred_counted,>=20%,,,,
,2660031,5,1742704,0.6551442445595559,0.6545728159492942,0.6557152250702533,0.889103172105889,0.8716270599853913,2660031,0.3448557554404441,3.759354684212327e-07,0.8169481737904674,0.21726979690422385,0.972074761534734,0.9642928973384145,0.8756288930467352,0.7037109717894265,0.8424277762176455,snv,lc,PASS,starred_counted,,False,,,
,96752,5,56203,0.5808975525053746,0.5777853487120622,0.5840033326117661,0.840478749793286,0.8328572019183065,96752,0.41910244749462544,4.134281461881925e-05,0.768054507554008,0.21324379119583442,0.9379030924425334,0.9333243757234992,0.8400549859434431,0.6679758557962626,0.7850276996857946,snv,lc,PASS,starred_counted,,True,,,
,27091,5,0,0.0,1.3552527156068805e-20,0.0001417782357771849,0.0,0.4,27091,1.0,0.0,0.1111111111111111,-0.2499999999999999,0.9988926211657008,1.0,0.0,0.0,0.0011073788342992137,snv,vaf_bin+lc,PASS,starred_counted,<5%,False,,,
,1305,5,0,0.0,0.0,0.002935006982553408,0.0,0.4,1305,1.0,0.0,0.1111111111111111,-0.25,0.9984674329501916,1.0,0.0,0.0,0.0015325670498084292,snv,vaf_bin+lc,PASS,starred_counted,<5%,True,,,
,188729,5,4,2.1194411033810386e-05,8.242122434844113e-06,5.449978686490961e-05,0.4175034043522723,0.5037106115117443,188729,0.9999788055889662,5.298602758452596e-06,0.2310856120028159,-0.15963128824351594,0.9659988660990096,0.8958824557964065,0.49238855713748286,0.00012186786344440971,0.16416131066237832,snv,vaf_bin+lc,PASS,starred_counted,5-10%,False,,,
,6879,5,0,0.0,0.0,0.0005581210672477586,0.3872655909289141,0.4947230702136938,6879,1.0,0.0,0.2200664346146791,-0.1655899239561775,0.962058438726559,0.9037650821340311,0.4606774240441925,0.0007268498328245384,0.14638755633086203,snv,vaf_bin+lc,PASS,starred_counted,5-10%,True,,,
,573805,5,164317,0.28636383440367374,0.2851955974364607,0.28753493181664314,0.889019788952693,0.7916769634283424,573805,0.7136361655963263,0.0,0.6482643551799023,0.003016138394745615,0.9575238974913081,0.9334808863638344,0.8941190822666237,0.3042793283432525,0.8689816226766933,snv,vaf_bin+lc,PASS,starred_counted,10-20%,False,,,
,20322,5,4987,0.24539907489420332,0.23953112272682486,0.251363263074392,0.834907981497884,0.7568054325361677,20322,0.7546009251057967,4.920775514221041e-05,0.6052350782709502,0.019085131592041896,0.9235803562641473,0.9011416199192993,0.8622182856018108,0.2745792736935341,0.8225076272020471,snv,vaf_bin+lc,PASS,starred_counted,10-20%,True,,,
,1870406,5,1578383,0.8438718652527847,0.8433509726693559,0.8443913453440627,0.9495922275698431,0.9401090458435227,1870406,0.15612813474721532,0.0,0.9176993590739058,0.28037984284483164,0.9767633337360979,0.9801310517609546,0.9213090633798223,0.9074356048900613,0.9149061754506775,snv,vaf_bin+lc,PASS,starred_counted,>=20%,False,,,
,68246,5,51216,0.7504615655129971,0.747200826898284,0.7536941095482207,0.9038918031826041,0.8978636110541277,68246,0.2495384344870029,4.395862028543797e-05,0.8633688506837351,0.2759091158632981,0.9385751545878147,0.9446121384403482,0.8877589895378484,0.8651496058377047,0.8532221668669226,snv,vaf_bin+lc,PASS,starred_counted,>=20%,True,,,
all,3422928,5,2072922,0.6055990660627393,0.6050812089550348,0.6061166861488012,0.8330157689557011,0.8393369068820611,3422928,0.3944009339372607,2.337180332160069e-06,0.7808157378148933,0.23565150137893193,0.9144504354166959,0.9120557020188563,0.8745781389500451,0.657816641191401,0.8377836168333076,snv,all,all,starred_counted,,,,,
,41030,5,0,0.0,0.0,9.361684609882801e-05,0.0,0.4,41030,1.0,0.0,0.1111111111111111,-0.25,0.9990738484036071,1.0,0.0,0.0,0.0009261515963928833,snv,vaf_bin,all,starred_counted,<5%,,,,
,324075,5,9,2.77713492247165e-05,1.4611110529055343e-05,5.278439953379282e-05,0.3126807066265525,0.4773598704003703,324075,0.9999722286507753,3.0857054694129444e-06,0.22859079993065268,-0.17274344282336274,0.7381377767492093,0.6977150350998997,0.5990372598935432,0.00016971380081771194,0.35173956645838156,snv,vaf_bin,all,starred_counted,5-10%,,,,
,798544,5,195789,0.24518248211745378,0.24424016059803988,0.24612725526456214,0.7798668576809794,0.7413049249634335,798544,0.7548175178825463,2.5045582960989e-06,0.5946932610190047,0.04670370098744584,0.8354154561301569,0.823691618746118,0.9037548337975114,0.26274694944799537,0.8809157666953856,snv,vaf_bin,all,starred_counted,10-20%,,,,
,2259279,5,1877124,0.8308509042043944,0.830361509841733,0.831339173475411,0.941567199093162,0.9338876694733143,2259279,0.16914909579560558,2.213095416723654e-06,0.910159973631942,0.2852885161384936,0.9661391975050447,0.9724363392037902,0.9196726035164315,0.9037347755633545,0.9074554315779503,snv,vaf_bin,all,starred_counted,>=20%,,,,
,3305440,5,2008211,0.6075472554334672,0.6070207291758268,0.6080735317165972,0.8339485817319328,0.8402583014666731,3305440,0.39245274456653273,9.07594752892202e-07,0.7820629338152425,0.23627234914881143,0.9147414565080595,0.912286412701486,0.8759454112009294,0.6584373033544703,0.8398809235684206,snv,lc,all,starred_counted,,False,,,
,117488,5,64711,0.5507881655998911,0.5479422914814722,0.55363071862564,0.8067717554133188,0.8134141359117526,117488,0.4492118344001089,4.255753779109356e-05,0.745578843813216,0.21669933211793982,0.9062627672613374,0.9055648236415634,0.8361109219664987,0.6403547596350265,0.7787774070543375,snv,lc,all,starred_counted,,True,,,
