source,hypothesis,context,bins_tested,bins_sig_support,bins_sig_reversed,verdict,per_bin
D1 SEQC2 ensemble,H3 indel>SNV,lenient | native | truth | FD_T_1,4,1,3,mixed (reversed in some bins),"<5%: -0.18 [-0.27,-0.12]; 5-10%: -0.50 [-0.55,-0.44]; 10-20%: -0.24 [-0.28,-0.20]; >=20%: +0.05 [+0.03,+0.07]"
D1 SEQC2 ensemble,H3 indel>SNV,lenient | native | truth | IL_T_1,4,1,3,mixed (reversed in some bins),"<5%: -0.24 [-0.33,-0.16]; 5-10%: -0.54 [-0.60,-0.48]; 10-20%: -0.18 [-0.21,-0.14]; >=20%: +0.06 [+0.04,+0.08]"
D1 SEQC2 ensemble,H3 indel>SNV,lenient | native | truth | NS_380X,4,0,3,reversed,"<5%: -0.39 [-0.49,-0.30]; 5-10%: -0.74 [-0.79,-0.69]; 10-20%: -0.41 [-0.44,-0.36]; >=20%: -0.02 [-0.05,+0.01]"
D1 SEQC2 ensemble,H3 indel>SNV,lenient | native | truth | NS_T_1,4,0,3,reversed,"<5%: -0.24 [-0.33,-0.17]; 5-10%: -0.53 [-0.58,-0.47]; 10-20%: -0.28 [-0.32,-0.24]; >=20%: +0.01 [-0.01,+0.04]"
D1 SEQC2 ensemble,H3 indel>SNV,lenient | native | truth | NV_T_1,4,1,3,mixed (reversed in some bins),"<5%: -0.37 [-0.46,-0.28]; 5-10%: -0.73 [-0.77,-0.67]; 10-20%: -0.22 [-0.25,-0.18]; >=20%: +0.09 [+0.07,+0.12]"
D1 SEQC2 ensemble,H3 indel>SNV,lenient | native | union | FD_T_1,4,2,2,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.02 [-0.02,-0.01]; 10-20%: +0.02 [+0.02,+0.03]; >=20%: +0.21 [+0.20,+0.21]"
D1 SEQC2 ensemble,H3 indel>SNV,lenient | native | union | IL_T_1,4,1,2,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.03 [-0.03,-0.02]; 10-20%: +0.00 [-0.00,+0.01]; >=20%: +0.17 [+0.16,+0.17]"
D1 SEQC2 ensemble,H3 indel>SNV,lenient | native | union | NS_380X,4,1,3,mixed (reversed in some bins),"<5%: -0.01 [-0.01,-0.01]; 5-10%: -0.04 [-0.05,-0.04]; 10-20%: -0.05 [-0.06,-0.04]; >=20%: +0.01 [+0.01,+0.02]"
D1 SEQC2 ensemble,H3 indel>SNV,lenient | native | union | NS_T_1,4,1,2,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.02 [-0.02,-0.02]; 10-20%: +0.00 [-0.00,+0.01]; >=20%: +0.18 [+0.18,+0.19]"
D1 SEQC2 ensemble,H3 indel>SNV,lenient | native | union | NV_T_1,4,1,3,mixed (reversed in some bins),"<5%: -0.00 [-0.00,-0.00]; 5-10%: -0.03 [-0.03,-0.02]; 10-20%: -0.03 [-0.03,-0.02]; >=20%: +0.04 [+0.03,+0.04]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | truth | FD_T_1,4,1,3,mixed (reversed in some bins),"<5%: -0.18 [-0.27,-0.12]; 5-10%: -0.54 [-0.60,-0.49]; 10-20%: -0.36 [-0.39,-0.31]; >=20%: +0.04 [+0.02,+0.06]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | truth | IL_T_1,4,1,3,mixed (reversed in some bins),"<5%: -0.23 [-0.32,-0.16]; 5-10%: -0.59 [-0.64,-0.53]; 10-20%: -0.28 [-0.31,-0.24]; >=20%: +0.06 [+0.04,+0.09]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | truth | NS_380X,4,0,3,reversed,"<5%: -0.39 [-0.49,-0.30]; 5-10%: -0.74 [-0.79,-0.69]; 10-20%: -0.47 [-0.50,-0.42]; >=20%: -0.02 [-0.05,+0.01]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | truth | NS_T_1,4,0,3,reversed,"<5%: -0.25 [-0.34,-0.17]; 5-10%: -0.55 [-0.61,-0.49]; 10-20%: -0.40 [-0.44,-0.36]; >=20%: +0.01 [-0.01,+0.04]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | truth | NV_T_1,4,1,3,mixed (reversed in some bins),"<5%: -0.37 [-0.47,-0.28]; 5-10%: -0.76 [-0.80,-0.71]; 10-20%: -0.31 [-0.35,-0.28]; >=20%: +0.10 [+0.08,+0.12]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | truth_obsvaf | FD_T_1,4,1,3,mixed (reversed in some bins),"<5%: -0.09 [-0.21,-0.03]; 5-10%: -0.55 [-0.62,-0.47]; 10-20%: -0.42 [-0.45,-0.38]; >=20%: +0.04 [+0.03,+0.06]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | truth_obsvaf | IL_T_1,4,1,3,mixed (reversed in some bins),"<5%: -0.13 [-0.21,-0.08]; 5-10%: -0.71 [-0.76,-0.64]; 10-20%: -0.30 [-0.34,-0.27]; >=20%: +0.05 [+0.03,+0.07]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | truth_obsvaf | NS_380X,4,0,3,reversed,"<5%: -0.32 [-0.41,-0.24]; 5-10%: -0.77 [-0.82,-0.72]; 10-20%: -0.49 [-0.53,-0.45]; >=20%: -0.02 [-0.05,+0.01]"
D1 SEQC2 ensemble,H3 indel>SNV,strict | native | truth_obsvaf | NS_T_1,4,0,3,reversed,"<5%: -0.08 [-0.17,-0.03]; 5-10%: -0.58 [-0.65,-0.51]; 10-20%: -0.47 [-0.50,-0.43]; >=20%: +0.01 [-0.01,+0.04]"
